method,aggregation,observed_tokens,cohort,metric,pairs,mean,low,high,sources
current_increment,prefix_mean,4,same_pairs_all_k,paired_win,43,0.7731481481481481,0.6342592592592592,0.8888888888888888,36
current_increment,prefix_mean,4,same_pairs_all_k,gap,43,1.3000618984194012,0.6282763719452626,1.9244066032410831,36
current_increment,prefix_mean,8,same_pairs_all_k,paired_win,43,0.7037037037037037,0.5601851851851851,0.8425925925925926,36
current_increment,prefix_mean,8,same_pairs_all_k,gap,43,1.052971655598312,0.564741866796284,1.5084211470236542,36
full,current,1,same_pairs_all_k,paired_win,43,0.8009259259259259,0.662037037037037,0.9166666666666666,36
full,current,1,same_pairs_all_k,gap,43,1.6155927930152272,0.9247759041777124,2.2812228738354867,36
full,current,2,same_pairs_all_k,paired_win,43,0.8379629629629629,0.7083333333333334,0.9444444444444444,36
full,current,2,same_pairs_all_k,gap,43,2.0219015985565205,1.3047418740543872,2.7403483146547822,36
full,current,4,same_pairs_all_k,paired_win,43,0.6851851851851851,0.5277777777777778,0.824074074074074,36
full,current,4,same_pairs_all_k,gap,43,2.061651565114126,0.9677491142795064,3.2529886245682285,36
full,current,8,same_pairs_all_k,paired_win,43,0.8287037037037037,0.7083333333333334,0.9305555555555556,36
full,current,8,same_pairs_all_k,gap,43,2.3199527128390196,1.4296938766372933,3.299467809974432,36
full,prefix_mean,1,same_pairs_all_k,paired_win,43,0.8009259259259259,0.662037037037037,0.9166666666666666,36
full,prefix_mean,1,same_pairs_all_k,gap,43,1.6155927930152272,0.9247759041777124,2.2812228738354867,36
full,prefix_mean,2,same_pairs_all_k,paired_win,43,0.8425925925925926,0.7037037037037037,0.9444444444444444,36
full,prefix_mean,2,same_pairs_all_k,gap,43,1.8187471957858738,1.2029332904741763,2.4086632272798765,36
full,prefix_mean,4,same_pairs_all_k,paired_win,43,0.7962962962962963,0.6619212962962963,0.9166666666666666,36
full,prefix_mean,4,same_pairs_all_k,gap,43,2.0494285853612033,1.381367516894316,2.6780737424663634,36
full,prefix_mean,8,same_pairs_all_k,paired_win,43,0.8425925925925926,0.7219907407407408,0.9537037037037036,36
full,prefix_mean,8,same_pairs_all_k,gap,43,2.141186010248983,1.5139655309903843,2.720224487634859,36
history_mean,current,1,same_pairs_all_k,paired_win,43,0.6435185185185185,0.490625,0.7917824074074067,36
history_mean,current,1,same_pairs_all_k,gap,43,0.5660530335474011,0.21061752966586986,0.9691418985285504,36
history_mean,current,2,same_pairs_all_k,paired_win,43,0.6712962962962963,0.5185185185185185,0.8194444444444444,36
history_mean,current,2,same_pairs_all_k,gap,43,0.6539679322935754,0.3330119819365235,1.020433323272952,36
history_mean,current,4,same_pairs_all_k,paired_win,43,0.8796296296296295,0.7730324074074074,0.9629629629629629,36
history_mean,current,4,same_pairs_all_k,gap,43,0.9942356119914673,0.6751709543466166,1.3208584416945952,36
history_mean,current,8,same_pairs_all_k,paired_win,43,0.8935185185185185,0.787037037037037,0.9768518518518517,36
history_mean,current,8,same_pairs_all_k,gap,43,1.6679448572929534,1.2168079327810624,2.1009067760703592,36
history_mean,prefix_mean,1,same_pairs_all_k,paired_win,43,0.6435185185185185,0.490625,0.7917824074074067,36
history_mean,prefix_mean,1,same_pairs_all_k,gap,43,0.5660530335474011,0.21061752966586986,0.9691418985285504,36
history_mean,prefix_mean,2,same_pairs_all_k,paired_win,43,0.6712962962962963,0.5138888888888888,0.8194444444444444,36
