id,source_id,error_start,normal_start,length,observed_tokens,method,aggregation,error_score,normal_score,gap,paired_win
12471,14396,78,176,13,1,prompt_only,prefix_mean,0.7961256602016469,-2.69929274500364,3.495418405205287,1.0
12471,14396,78,176,13,2,full,current,-1.916482808823383,-4.789667643159386,2.873184834336003,1.0
12471,14396,78,176,13,2,full,prefix_mean,-1.8506148253218009,-4.040860242528963,2.1902454172071617,1.0
12471,14396,78,176,13,2,history_mean,current,-2.863974448689146,-3.9334682154500458,1.0694937667608997,1.0
12471,14396,78,176,13,2,history_mean,prefix_mean,-2.9641652182705993,-3.9431082792216103,0.978943060951011,1.0
12471,14396,78,176,13,2,current_increment,current,0.9474916398657632,-0.8561994277093401,1.8036910675751034,1.0
12471,14396,78,176,13,2,current_increment,prefix_mean,1.113550392948799,-0.09775196330735203,1.2113023562561511,1.0
12471,14396,78,176,13,2,prompt_only,current,-1.8164399036678407,-6.7349380587410765,4.918498155073236,1.0
12471,14396,78,176,13,2,prompt_only,prefix_mean,-0.5101571217330969,-4.717115401872358,4.206958280139261,1.0
12471,14396,78,176,13,4,full,current,-2.617901284804148,-5.151270294335862,2.5333690095317136,1.0
12471,14396,78,176,13,4,full,prefix_mean,-2.239093557024388,-4.236371543369123,1.9972779863447352,1.0
12471,14396,78,176,13,4,history_mean,current,-2.7124209581844183,-3.995614889062813,1.2831939308783946,1.0
12471,14396,78,176,13,4,history_mean,prefix_mean,-2.8779766506325455,-3.9873066464226583,1.1093299957901128,1.0
12471,14396,78,176,13,4,current_increment,current,0.0945196733802702,-1.1556554052730488,1.250175078653319,1.0
12471,14396,78,176,13,4,current_increment,prefix_mean,0.638883093608158,-0.2490648969464645,0.8879479905546225,1.0
12471,14396,78,176,13,4,prompt_only,current,-0.8478720985587065,-4.187015532339903,3.3391434337811967,1.0
12471,14396,78,176,13,4,prompt_only,prefix_mean,-1.029887628059913,-4.574625044058769,3.5447374159988563,1.0
12471,14396,78,176,13,8,full,current,-4.3575471552321865,-2.1604610222684446,-2.197086132963742,0.0
12471,14396,78,176,13,8,full,prefix_mean,-2.5074586261437584,-3.7770108496072683,1.26955222346351,1.0
12471,14396,78,176,13,8,history_mean,current,-2.153089709314577,-3.691425018644736,1.5383353093301593,1.0
12471,14396,78,176,13,8,history_mean,prefix_mean,-2.615775632766578,-3.9554136002811715,1.3396379675145935,1.0
12471,14396,78,176,13,8,current_increment,current,-2.2044574459176096,1.5309639963762915,-3.735421442293901,0.0
12471,14396,78,176,13,8,current_increment,prefix_mean,0.1083170066228197,0.17840275067390327,-0.07008574405108356,0.0
12471,14396,78,176,13,8,prompt_only,current,-2.3091873488464465,-5.761918676678678,3.4527313278322316,1.0
12471,14396,78,176,13,8,prompt_only,prefix_mean,-1.5834160928462981,-5.0731212617027985,3.4897051688565,1.0
12693,14433,111,99,8,1,full,current,-1.6687142674388695,-1.857177532442449,0.18846326500357957,1.0
12693,14433,111,99,8,1,full,prefix_mean,-1.6687142674388695,-1.857177532442449,0.18846326500357957,1.0
12693,14433,111,99,8,1,history_mean,current,-2.809841274124324,-2.059159374944426,-0.7506818991798982,0.0
12693,14433,111,99,8,1,history_mean,prefix_mean,-2.809841274124324,-2.059159374944426,-0.7506818991798982,0.0
12693,14433,111,99,8,1,current_increment,current,1.141127006685454,0.2019818425019763,0.9391451641834777,1.0
12693,14433,111,99,8,1,current_increment,prefix_mean,1.141127006685454,0.2019818425019763,0.9391451641834777,1.0
12693,14433,111,99,8,1,prompt_only,current,-3.8441882813386776,-3.342331856462564,-0.5018564248761135,0.0
12693,14433,111,99,8,1,prompt_only,prefix_mean,-3.8441882813386776,-3.342331856462564,-0.5018564248761135,0.0
12693,14433,111,99,8,2,full,current,-0.4572588243343547,-2.8309271208009417,2.3736682964665867,1.0
12693,14433,111,99,8,2,full,prefix_mean,-1.0629865458866121,-2.3440523266216955,1.2810657807350834,1.0
12693,14433,111,99,8,2,history_mean,current,-2.6377763349460905,-2.036939371401388,-0.6008369635447024,0.0
12693,14433,111,99,8,2,history_mean,prefix_mean,-2.7238088045352074,-2.048049373172907,-0.6757594313623003,0.0
12693,14433,111,99,8,2,current_increment,current,2.180517510611736,-0.7939877493995535,2.9745052600112896,1.0
12693,14433,111,99,8,2,current_increment,prefix_mean,1.660822258648595,-0.29600295344878863,1.9568252120973837,1.0
12693,14433,111,99,8,2,prompt_only,current,-2.2690355179327524,-5.5067360297378185,3.237700511805066,1.0
12693,14433,111,99,8,2,prompt_only,prefix_mean,-3.056611899635715,-4.424533943100191,1.367922043464476,1.0
