method,aggregation,length_bin,sentences,sources,threshold,calibration_normal_sentences,positives,negatives,auroc,ap,recall,fpr
prompt_only,maximum,all,1706,149,3.3373792968587512,957,163,1543,0.8953198493890876,0.6257473627963097,0.43558282208588955,0.012313674659753726
prompt_only,maximum,short_1_8,517,113,3.3373792968587512,957,49,468,0.9182801325658468,0.7455804317592067,0.3469387755102041,0.002136752136752137
prompt_only,maximum,medium_9_32,984,149,3.3373792968587512,957,86,898,0.8939115346765422,0.6135896767660308,0.46511627906976744,0.014476614699331848
prompt_only,maximum,long_33_plus,205,114,3.3373792968587512,957,28,177,0.882768361581921,0.6306875390412411,0.5,0.02824858757062147
prompt_only,mean,all,1706,149,-0.002515614463572652,957,163,1543,0.8856263592952935,0.6166082341926893,0.39263803680981596,0.011665586519766688
prompt_only,mean,short_1_8,517,113,-0.002515614463572652,957,49,468,0.9228152799581372,0.7472042261402051,0.6122448979591837,0.017094017094017096
prompt_only,mean,medium_9_32,984,149,-0.002515614463572652,957,86,898,0.8723131506707411,0.5627947281529085,0.32558139534883723,0.008908685968819599
prompt_only,mean,long_33_plus,205,114,-0.002515614463572652,957,28,177,0.8609765940274414,0.5379337117353872,0.21428571428571427,0.011299435028248588
prompt_only,top4_mean,all,1706,149,2.5967542997973063,957,163,1543,0.8937890890584432,0.6295300719548143,0.38650306748466257,0.007128969539857421
prompt_only,top4_mean,short_1_8,517,113,2.5967542997973063,957,49,468,0.9221175649747079,0.7462937485655137,0.3469387755102041,0.002136752136752137
prompt_only,top4_mean,medium_9_32,984,149,2.5967542997973063,957,86,898,0.888382451960429,0.6073730020586453,0.38372093023255816,0.0077951002227171495
prompt_only,top4_mean,long_33_plus,205,114,2.5967542997973063,957,28,177,0.8964891041162227,0.6142495511266793,0.4642857142857143,0.01694915254237288
