early,late,site,metric,full,cut,restored,restoration_gain,sham_delta,deletion_support,case_id,source_id,side,panel,restore_exceeds_own_sham
L6H12Q468S459,L31H14Q468S468,mlp,sequence_margin,-4.697483304481864,-5.594610400744431,-5.575319476672165,0.0192909240722656,0.0,0.897127096262567,14315_headwear_scope,14315,unsupported,natural,False
L14H26Q256S255,L16H30Q469S469,message,sequence_margin,-3.39495427124109,-2.432660397256055,-2.527629717561747,-0.094969320305692,-0.0180045653016609,-0.9622938739850349,14315_headwear_scope,14315,unsupported,parallel_singular,True
L14H26Q256S255,L16H30Q469S469,mlp,sequence_margin,-3.39495427124109,-2.432660397256055,-2.524962510748984,-0.0923021134929289,-0.0335424786528446,-0.9622938739850349,14315_headwear_scope,14315,unsupported,parallel_singular,True
L14H26Q256S255,L31H21Q469S381,message,sequence_margin,-3.39495427124109,-2.432660397256055,-2.434336956704299,-0.0016765594482439,0.0,-0.9622938739850349,14315_headwear_scope,14315,unsupported,parallel_singular,False
L14H26Q256S255,L31H21Q469S381,mlp,sequence_margin,-3.39495427124109,-2.432660397256055,-1.91844874259297,0.514211654663085,0.0,-0.9622938739850349,14315_headwear_scope,14315,unsupported,parallel_singular,True
L16H30Q469S469,L31H14Q469S469,message,sequence_margin,-3.39495427124109,-2.618437347899645,-2.647406158934801,-0.0289688110351562,0.0,-0.7765169233414446,14315_headwear_scope,14315,unsupported,parallel_singular,False
L16H30Q469S469,L31H14Q469S469,mlp,sequence_margin,-3.39495427124109,-2.618437347899645,-1.8789640050041363,0.7394733428955087,0.0,-0.7765169233414446,14315_headwear_scope,14315,unsupported,parallel_singular,True
L14H26Q256S255,L31H14Q469S469,message,sequence_margin,-3.39495427124109,-2.432660397256055,-2.4262879454738293,0.0063724517822256,0.0,-0.9622938739850349,14315_headwear_scope,14315,unsupported,parallel_singular,False
L14H26Q256S255,L31H14Q469S469,mlp,sequence_margin,-3.39495427124109,-2.432660397256055,-1.91844874259297,0.514211654663085,0.0,-0.9622938739850349,14315_headwear_scope,14315,unsupported,parallel_singular,True
L8H11Q657S98,L12H12Q660S660,message,sequence_margin,6.077786245542399,6.134406395300188,6.093843902528575,-0.0405624927716132,-0.0513753986536862,-0.0566201497577898,14375_onion_stage,14375,supported,natural,False
L8H11Q657S98,L12H12Q660S660,mlp,sequence_margin,6.077786245542399,6.134406395300188,5.731103434623462,-0.4033029606767266,-0.0394507215554549,-0.0566201497577898,14375_onion_stage,14375,supported,natural,True
L12H12Q660S660,L31H14Q660S660,message,sequence_margin,6.077786245542399,4.573280289126583,4.587863876773068,0.0145835876464852,0.0,1.504505956415816,14375_onion_stage,14375,supported,natural,False
L12H12Q660S660,L31H14Q660S660,mlp,sequence_margin,6.077786245542399,4.573280289126583,4.128492310000607,-0.4447879791259757,0.0,1.504505956415816,14375_onion_stage,14375,supported,natural,True
L8H11Q657S98,L10H31Q660S102,message,sequence_margin,6.077786245542399,6.134406395300188,6.111027719421287,-0.0233786758789014,0.0079985648589149,-0.0566201497577898,14375_onion_stage,14375,supported,natural,False
L8H11Q657S98,L10H31Q660S102,mlp,sequence_margin,6.077786245542399,6.134406395300188,6.036251185096886,-0.098155210203302,-0.058857425676055,-0.0566201497577898,14375_onion_stage,14375,supported,natural,False
L8H11Q657S98,L31H14Q660S660,message,sequence_margin,6.077786245542399,6.134406395300188,6.1454842761595625,0.0110778808593741,0.0,-0.0566201497577898,14375_onion_stage,14375,supported,natural,False
L8H11Q657S98,L31H14Q660S660,mlp,sequence_margin,6.077786245542399,6.134406395300188,6.083792991979877,-0.0506134033203116,0.0,-0.0566201497577898,14375_onion_stage,14375,supported,natural,True
L12H12Q660S660,L16H30Q660S660,message,sequence_margin,0.0745809072025318,-0.486369396236999,-0.9186838706397568,-0.4323144744027578,-0.0163469832523017,0.5609503034395309,14375_onion_stage,14375,unsupported,natural,True
L12H12Q660S660,L16H30Q660S660,mlp,sequence_margin,0.0745809072025318,-0.486369396236999,-0.3019303722392434,0.1844390239977555,-0.0129869252887937,0.5609503034395309,14375_onion_stage,14375,unsupported,natural,True
L12H12Q660S660,L31H25Q660S660,message,sequence_margin,0.0745809072025318,-0.486369396236999,-0.4918053398405146,-0.0054359436035156,0.0,0.5609503034395309,14375_onion_stage,14375,unsupported,natural,False
L12H12Q660S660,L31H25Q660S660,mlp,sequence_margin,0.0745809072025318,-0.486369396236999,-0.7132542381559444,-0.2268848419189453,0.0,0.5609503034395309,14375_onion_stage,14375,unsupported,natural,True
L12H17Q660S657,L16H30Q660S660,message,sequence_margin,0.0745809072025318,0.5030221772781858,0.6000018488728196,0.0969796715946338,-0.0163469832523017,-0.4284412700756539,14375_onion_stage,14375,unsupported,natural,True
L12H17Q660S657,L16H30Q660S660,mlp,sequence_margin,0.0745809072025318,0.5030221772781858,0.4188413649799445,-0.0841808122982412,-0.0129869252887937,-0.4284412700756539,14375_onion_stage,14375,unsupported,natural,True
