case_id,source_id,side,event,selection,unit,layer,head,receiver,sources,capture_residual,source_group,entry_sham_error,state_sham_error,relay_sham_error,joint_sham_error,dose,relay_dose,full,removed,support,sham_error,numeric_ok,relay_status,without_relay,without_both,entry_conditional,relay_support,relay_conditional,interaction,restored_state,restored_state_blocked,restoration_identity_error,blocked_identity_error,restoration_gain,blocked_restoration_gain,gate_difference,restored_relay,relay_restoration_gain,delta_sequence_margin,delta_next_margin,delta_tail_margin,delta_mean_margin
14315_headwear_scope,14315,unsupported,1,matched_low_flow,event_1_selected_edge,30,3,464,[192],True,selected_edge,0.0,0.0,0.0,0.0,0.25,1.0,-4.697483304481864,-4.699930368376966,0.0024470638951026,0.0,True,planned,-4.6988165411762,-4.719887910796401,0.0210713696202011,0.0013332366943359,0.0199575424194344,-0.0186243057250985,-4.697483304481864,-4.6988165411762,0.0,0.0,0.0024470638951026,0.0210713696202011,-0.0186243057250985,-4.699930368376966,0.0,0.0024470638951026302,-0.001743316650390625,0.004190380545493255,0.00016675454191839023
14315_headwear_scope,14315,unsupported,1,matched_low_flow,event_1_selected_edge,30,3,464,[192],True,selected_edge,0.0,0.0,0.0,0.0,1.0,1.0,-4.697483304481864,-4.703645500433848,0.0061621959519841,0.0,True,planned,-4.6988165411762,-4.712003502142834,0.0131869609666344,0.0013332366943359,0.0083580017089861,-0.0070247650146502,-4.697483304481864,-4.6988165411762,0.0,0.0,0.0061621959519841,0.0131869609666344,-0.0070247650146502,-4.703645500433848,0.0,0.006162195951984195,0.0032978057861328125,0.0028643901658513826,0.0005371582847176759
14315_headwear_scope,14315,unsupported,1,matched_low_flow,event_1_scope,30,3,464,"[249, 250, 251, 252, 253, 254]",True,scope,0.0,0.0,0.0,0.0,0.25,1.0,-4.697483304481864,-4.707311730506924,0.0098284260250602,0.0,True,planned,-4.6988165411762,-4.706857781532314,0.008041240356114,0.0013332366943359,-0.0004539489746102,0.0017871856689462,-4.697483304481864,-4.6988165411762,0.0,0.0,0.0098284260250602,0.008041240356114,0.0017871856689462,-4.707311730506924,0.0,0.009828426025060288,7.724761962890625e-05,0.009751178405431382,0.0008471726950005642
14315_headwear_scope,14315,unsupported,1,matched_low_flow,event_1_scope,30,3,464,"[249, 250, 251, 252, 253, 254]",True,scope,0.0,0.0,0.0,0.0,1.0,1.0,-4.697483304481864,-4.6929469744004,-0.0045363300814642,0.0,True,planned,-4.6988165411762,-4.694617811802743,-0.0041987293734564,0.0013332366943359,0.0016708374023437,-0.0003376007080078,-4.697483304481864,-4.6988165411762,0.0,0.0,-0.0045363300814642,-0.0041987293734564,-0.0003376007080078,-4.6929469744004,0.0,-0.004536330081464257,-0.0025691986083984375,-0.0019671314730658196,-0.00042075815385433923
14315_headwear_scope,14315,unsupported,1,matched_low_flow,event_1_supported_value,30,3,464,"[376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393]",True,supported_value,0.0,0.0,0.0,0.0,0.25,1.0,-4.697483304481864,-4.690072300488706,-0.007411003993158,0.0,True,planned,-4.6988165411762,-4.686987164075132,-0.0118293771010682,0.0013332366943359,-0.0030851364135742,0.0044183731079101,-4.697483304481864,-4.6988165411762,0.0,0.0,-0.007411003993158,-0.0118293771010682,0.0044183731079101,-4.690072300488706,0.0,-0.007411003993158083,-0.001163482666015625,-0.006247521327142458,-0.0007090183881399703
14315_headwear_scope,14315,unsupported,1,matched_low_flow,event_1_supported_value,30,3,464,"[376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393]",True,supported_value,0.0,0.0,0.0,0.0,1.0,1.0,-4.697483304481864,-4.710349931811782,0.0128666273299185,0.0,True,planned,-4.6988165411762,-4.705566301440688,0.0067497602644879,0.0013332366943359,-0.0047836303710946,0.0061168670654305,-4.697483304481864,-4.6988165411762,0.0,0.0,0.0128666273299185,0.0067497602644879,0.0061168670654305,-4.710349931811782,0.0,0.0128666273299185,0.014703750610351562,-0.0018371232804330617,0.0012255395887313947
14315_headwear_scope,14315,unsupported,1,matched_low_flow,event_1_value_source,30,3,464,"[255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266]",True,value_source,0.0,0.0,0.0,0.0,0.25,1.0,-4.697483304481864,-4.6967096103921175,-0.0007736940897462,0.0,True,planned,-4.6988165411762,-4.693183876444364,-0.0056326647318361,0.0013332366943359,-0.0035257339477539,0.0048589706420898,-4.697483304481864,-4.6988165411762,0.0,0.0,-0.0007736940897462,-0.0056326647318361,0.0048589706420898,-4.6967096103921175,0.0,-0.0007736940897462574,0.0027561187744140625,-0.00352981286416032,-7.199837454896496e-05
14315_headwear_scope,14315,unsupported,1,matched_low_flow,event_1_value_source,30,3,464,"[255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266]",True,value_source,0.0,0.0,0.0,0.0,1.0,1.0,-4.697483304481864,-4.693863927646042,-0.0036193768358216,0.0,True,planned,-4.6988165411762,-4.684092580600143,-0.0147239605760569,0.0013332366943359,-0.0097713470458993,0.0111045837402352,-4.697483304481864,-4.6988165411762,0.0,0.0,-0.0036193768358216,-0.0147239605760569,0.0111045837402352,-4.693863927646042,0.0,-0.003619376835821697,-0.005756378173828125,0.002137001338006428,-0.0003797401842045023
14315_headwear_scope,14315,unsupported,1,matched_low_flow,event_1_scope_and_value,30,3,464,"[249, 250, 251, 252, 253, 254, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393]",True,scope_and_value,0.0,0.0,0.0,0.0,0.25,1.0,-4.697483304481864,-4.701118593489685,0.0036352890078212,0.0,True,planned,-4.6988165411762,-4.719905023848572,0.021088482672372,0.0013332366943359,0.0187864303588867,-0.0174531936645507,-4.697483304481864,-4.6988165411762,0.0,0.0,0.0036352890078212,0.021088482672372,-0.0174531936645507,-4.701118593489685,0.0,0.003635289007821285,-0.0018625259399414062,0.005497814947762691,0.0003618133312612848
14315_headwear_scope,14315,unsupported,1,matched_low_flow,event_1_scope_and_value,30,3,464,"[249, 250, 251, 252, 253, 254, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393]",True,scope_and_value,0.0,0.0,0.0,0.0,1.0,1.0,-4.697483304481864,-4.701755385067596,0.0042720805857321,0.0,True,planned,-4.6988165411762,-4.700515608456266,0.0016990672800663,0.0013332366943359,-0.0012397766113299,0.0025730133056658,-4.697483304481864,-4.6988165411762,0.0,0.0,0.0042720805857321,0.0016990672800663,0.0025730133056658,-4.701755385067596,0.0,0.004272080585732141,0.010684967041015625,-0.006412886455283484,0.00048076909272243284
