case_id,source_id,side,world,next_top1_changed,sequence_margin,next_margin,tail_margin,mean_margin
14315_headwear_scope,14315,unsupported,event_1_selected_edge_1_cut_both,False,-4.712003502142834,-5.729436874389648,1.0174333722468143,-0.5218153225661392
14315_headwear_scope,14315,unsupported,event_2_supported_value_0.25,False,-4.704983952980399,-5.725281715393066,1.0202977624126675,-0.5211238969337364
14315_headwear_scope,14315,unsupported,event_2_scope_and_value_1,False,-4.69600260395327,-5.718433380126953,1.0224307761736835,-0.5202792112150136
14315_headwear_scope,14315,unsupported,event_0_selected_edge_0.25_restore_state,False,-4.697483304481864,-5.717781066894531,1.0202977624126675,-0.5204001886779118
14315_headwear_scope,14315,unsupported,event_1_selected_edge_0.25_restore_state,False,-4.697483304481864,-5.717781066894531,1.0202977624126675,-0.5204001886779118
14315_headwear_scope,14315,unsupported,event_0_value_source_1_restore_state_blocked,False,-4.745699170570731,-5.765996932983398,1.0202977624126675,-0.5252205159782565
14315_headwear_scope,14315,unsupported,event_2_selected_edge_0.25_cut_both,False,-4.735445210065328,-5.750842094421387,1.0153968843560586,-0.5242812092190624
14315_headwear_scope,14315,unsupported,event_2_scope_0.25_restore_relay,False,-4.697483304481864,-5.717781066894531,1.0202977624126675,-0.5204001886779118
14315_headwear_scope,14315,unsupported,event_0_selected_edge_0.25_restore_relay,False,-4.711143560588904,-5.716617584228516,1.0054740236396116,-0.5216914065544864
14315_headwear_scope,14315,unsupported,event_2_value_source_joint_sham,False,-4.697483304481864,-5.717781066894531,1.0202977624126675,-0.5204001886779118
14315_headwear_scope,14315,unsupported,event_0_value_source_0.25_restore_state,False,-4.697483304481864,-5.717781066894531,1.0202977624126675,-0.5204001886779118
14315_headwear_scope,14315,unsupported,event_0_supported_value_0.25_restore_state,False,-4.697483304481864,-5.717781066894531,1.0202977624126675,-0.5204001886779118
14315_headwear_scope,14315,unsupported,event_1_scope_1_restore_state_blocked,False,-4.6988165411762,-5.719114303588867,1.0202977624126675,-0.520533839942237
14315_headwear_scope,14315,unsupported,event_2_scope_and_value_0.25_restore_relay,False,-4.716407548711623,-5.727158546447754,1.0107509977361309,-0.5221799570869955
14315_headwear_scope,14315,unsupported,event_0_scope_1_restore_state,False,-4.697483304481864,-5.717781066894531,1.0202977624126675,-0.5204001886779118
14315_headwear_scope,14315,unsupported,event_1_value_source_1_restore_state_blocked,False,-4.6988165411762,-5.719114303588867,1.0202977624126675,-0.520533839942237
14315_headwear_scope,14315,unsupported,event_1_scope_joint_sham,False,-4.697483304481864,-5.717781066894531,1.0202977624126675,-0.5204001886779118
14315_headwear_scope,14315,unsupported,event_3_selected_edge_state_sham,False,-4.697483304481864,-5.717781066894531,1.0202977624126675,-0.5204001886779118
14315_headwear_scope,14315,unsupported,event_1_supported_value_0.25_restore_state,False,-4.697483304481864,-5.717781066894531,1.0202977624126675,-0.5204001886779118
14315_headwear_scope,14315,unsupported,event_1_selected_edge_0.25_restore_state_blocked,False,-4.6988165411762,-5.719114303588867,1.0202977624126675,-0.520533839942237
14315_headwear_scope,14315,unsupported,event_2_supported_value_1,False,-4.702862524540855,-5.7168073654174805,1.0139448408766256,-0.520880208362733
14315_headwear_scope,14315,unsupported,event_0_supported_value_1_restore_state,False,-4.697483304481864,-5.717781066894531,1.0202977624126675,-0.5204001886779118
14315_headwear_scope,14315,unsupported,event_1_value_source_joint_sham,False,-4.697483304481864,-5.717781066894531,1.0202977624126675,-0.5204001886779118
14315_headwear_scope,14315,unsupported,event_1_selected_edge_0.25_cut_both,False,-4.719887910796401,-5.735995292663574,1.0161073818671733,-0.5225362759269176
14315_headwear_scope,14315,unsupported,event_1_selected_edge_random_1,False,-4.704225034721386,-5.711992263793945,1.0077672290725594,-0.521017080467376
14315_headwear_scope,14315,unsupported,event_1_selected_edge_0.25_restore_relay,False,-4.699930368376966,-5.716037750244141,1.0161073818671742,-0.5205669432198302
