method,region,measure,pairs,mean,low,high,sources
prefix_mean,back,gap,50,0.03281417242373524,0.023684478270955805,0.042586861369228735,40
prefix_mean,back,auc_change,50,0.0660095137637455,-0.04373170592453359,0.1740866143095244,40
prefix_mean,back,gap_change,50,-0.2817701962892807,-0.35675585803793763,-0.20057478126364384,40
prefix_mean,front,auroc,50,0.8029082585771912,0.6941352314636685,0.9013791056436348,40
prefix_mean,front,gap,50,0.014544101819844817,0.006396175989421189,0.023264785309936968,40
prefix_mean,front,auc_change,50,-0.03916291432339838,-0.17400798485096627,0.0982052211290648,40
prefix_mean,front,gap_change,50,-0.23347157280299652,-0.2972748629031372,-0.16655130587800757,40
previous,all,auroc,50,0.8196506020796559,0.7372372129451252,0.8865089783799226,40
previous,all,gap,50,0.2700190518374937,0.20438679076536834,0.3316556589196762,40
previous,all,auc_change,50,-0.01221290894952361,-0.028946449081833085,0.001997587650571132,40
previous,all,gap_change,50,-0.012217861492426416,-0.021533283321865077,-0.004509227972237731,40
previous,back,auroc,50,0.825352073499632,0.7318981429633833,0.905548221630537,40
previous,back,gap,50,0.32494394817152045,0.2398075840382045,0.4044943225024636,40
previous,back,auc_change,50,0.011980942523129465,-0.00892407010895813,0.02941440800567336,40
previous,back,gap_change,50,0.010359579458504492,-0.0006241408125228262,0.021174737766240292,40
previous,front,auroc,50,0.792702083406759,0.6988015980964895,0.8807856270178795,40
previous,front,gap,50,0.20997636808818299,0.14438951604850234,0.27320351831424206,40
previous,front,auc_change,50,-0.049369089493830634,-0.11169651980801563,-0.004447397163282075,40
previous,front,gap_change,50,-0.03803930653465835,-0.05695414315489694,-0.020122122875191304,40
sampled_past,all,auroc,50,0.6496525556186639,0.5991098847846206,0.6984519823268798,40
sampled_past,all,gap,50,0.01934125047228514,0.009759232658083065,0.02869107646884243,40
sampled_past,all,auc_change,50,-0.18221095541051555,-0.25638448884490367,-0.10267238249901975,40
sampled_past,all,gap_change,50,-0.26289566285763494,-0.32466871714287604,-0.19915454504383656,40
sampled_past,back,auroc,50,0.6755711476071262,0.6185248717373872,0.729239243632498,40
