feature,layer,responses,late_minus_onset,paired_dz,expected_direction,direction_supported
ph_max_death,17,161,-0.015694491981719592,-0.255027906893136,0,False
ph_max_death,18,161,-0.0026274267931162202,-0.051688150051259936,0,False
ph_max_death,19,161,0.00020697509279902677,0.002904814498840256,0,False
ph_max_death,20,161,0.004022105417636611,0.06204667842320455,0,False
ph_max_death,21,161,0.005695544599746325,0.10744820642072621,0,False
ph_max_death,22,161,0.03168983683452843,0.4531035344513526,0,False
ph_max_death,23,161,0.025884685401590713,0.42603644424623976,0,False
ph_max_death,24,161,0.07237399892407174,0.884203609444779,0,False
ph_max_death,25,161,0.018185338340931056,0.237478098609515,0,False
ph_max_death,26,161,0.011402760510859282,0.2078462667876129,0,False
ph_max_death,27,161,-0.014105138386258428,-0.2747597707796166,0,False
ph_max_death,28,161,0.009759299318242516,0.1794680847962758,0,False
ph_max_death,29,161,0.015800350386163464,0.29686218842336465,0,False
ph_max_death,30,161,0.014917478613231493,0.3042437612170877,0,False
ph_max_death,31,161,-0.026890930181704693,-0.5170607882385163,0,False
ph_persistence_entropy,0,161,0.0010986594679933156,0.0439300028072836,0,False
ph_persistence_entropy,1,161,0.00047418641747895237,0.011562928640911376,0,False
ph_persistence_entropy,2,161,0.031994357612562474,0.39640895663663495,0,False
ph_persistence_entropy,3,161,0.03293312410390155,0.6365465660559851,0,False
ph_persistence_entropy,4,161,0.0042928020406213605,0.09096661993374706,0,False
ph_persistence_entropy,5,161,0.01135837069209318,0.2476516218420206,0,False
ph_persistence_entropy,6,161,0.002522122045481427,0.0817040575418473,0,False
ph_persistence_entropy,7,161,0.006184176628634056,0.31260025444256145,0,False
ph_persistence_entropy,8,161,0.00032764043867217825,0.017645735607563245,0,False
ph_persistence_entropy,9,161,0.00025708482872625313,0.015818000539190493,0,False
ph_persistence_entropy,10,161,0.005524386530337127,0.20768067415819533,0,False
ph_persistence_entropy,11,161,-0.0004429091577944548,-0.035756892881858494,0,False
ph_persistence_entropy,12,161,0.0023910732743162547,0.11800999391578489,0,False
ph_persistence_entropy,13,161,0.0061278269157646606,0.1826467706372739,0,False
ph_persistence_entropy,14,161,0.0015433678715865804,0.05905130803060189,0,False
ph_persistence_entropy,15,161,0.011678289922868243,0.3788140248027607,0,False
ph_persistence_entropy,16,161,0.005819086702714056,0.17415331228372458,0,False
ph_persistence_entropy,17,161,0.02147290573357055,0.5667212651779912,0,False
ph_persistence_entropy,18,161,0.005933275874357046,0.12884205965940623,0,False
ph_persistence_entropy,19,161,0.027565350443680095,0.3334084989634473,0,False
ph_persistence_entropy,20,161,0.0010745806723647976,0.01568047363977268,0,False
ph_persistence_entropy,21,161,-0.008083765551170206,-0.12270037021713222,0,False
ph_persistence_entropy,22,161,-0.0028471443223657073,-0.03861764532373192,0,False
ph_persistence_entropy,23,161,-0.025204430455746857,-0.4052711403449007,0,False
ph_persistence_entropy,24,161,-0.023163351212969478,-0.2901536801055699,0,False
ph_persistence_entropy,25,161,0.006791006704294903,0.0856521707404264,0,False
ph_persistence_entropy,26,161,0.014127728361520708,0.20808799434817554,0,False
ph_persistence_entropy,27,161,0.009927863660066025,0.120574234448767,0,False
ph_persistence_entropy,28,161,0.01660584366839865,0.42622908096848705,0,False
ph_persistence_entropy,29,161,0.0364692581366308,0.4792377631320057,0,False
ph_persistence_entropy,30,161,0.0032933143355091165,0.06931612606955694,0,False
ph_persistence_entropy,31,161,0.026578485595513575,0.7321857704749951,0,False
ph_largest_gap,0,161,0.012118201031818153,0.18967157686846903,0,False
ph_largest_gap,1,161,0.01559779006316795,0.23368641086248104,0,False
ph_largest_gap,2,161,0.004258424228762988,0.05689427539467339,0,False
ph_largest_gap,3,161,-0.043166331854296025,-0.4646335283470159,0,False
ph_largest_gap,4,161,-0.017153604060226344,-0.19912333534037407,0,False
ph_largest_gap,5,161,0.008957168978193531,0.11304130853728249,0,False
ph_largest_gap,6,161,-0.010864503450275207,-0.12294099444647257,0,False
ph_largest_gap,7,161,-0.0005385007084526631,-0.009909688736543316,0,False
ph_largest_gap,8,161,-0.005065920051210415,-0.07463976959306699,0,False
ph_largest_gap,9,161,0.00855790254492197,0.17460410226582987,0,False
ph_largest_gap,10,161,-0.003497958553503759,-0.049138170687006884,0,False
ph_largest_gap,11,161,0.0048710086515971595,0.09092861052600255,0,False
ph_largest_gap,12,161,-0.03947526855128152,-0.4900062192928994,0,False
ph_largest_gap,13,161,-0.004580869345191103,-0.06477735164779556,0,False
ph_largest_gap,14,161,0.02370660437375122,0.3711259726764727,0,False
ph_largest_gap,15,161,0.0038722041786087226,0.06950961871383483,0,False
ph_largest_gap,16,161,-0.014386262212480818,-0.20500981479292016,0,False
ph_largest_gap,17,161,-0.013309393656549987,-0.15783121213876597,0,False
ph_largest_gap,18,161,-0.0060209700872439036,-0.09234190556577389,0,False
ph_largest_gap,19,161,0.0019932339280288413,0.023284334163307684,0,False
ph_largest_gap,20,161,0.0005215016303595549,0.007743473240556975,0,False
ph_largest_gap,21,161,0.010763233863048671,0.1557133649348911,0,False
ph_largest_gap,22,161,0.017293636195407892,0.22011513139191227,0,False
ph_largest_gap,23,161,0.009478228849283657,0.11099273843798156,0,False
ph_largest_gap,24,161,-0.008088763502443799,-0.08926702424168535,0,False
ph_largest_gap,25,161,0.001408229981149946,0.016996382045428655,0,False
ph_largest_gap,26,161,0.0007821257625307355,0.010735153587511464,0,False
ph_largest_gap,27,161,-0.03532155945619441,-0.42113665303459386,0,False
ph_largest_gap,28,161,-0.0027272054775161034,-0.04042038677405475,0,False
ph_largest_gap,29,161,-0.004948222535367338,-0.08926981290220375,0,False
ph_largest_gap,30,161,-0.0033348500728607178,-0.05388842559497585,0,False
ph_largest_gap,31,161,-0.0405676970663278,-0.44222943418070115,0,False
head_route_effective_rank,0,161,0.02151575591993628,0.17230592955855306,0,False
head_route_effective_rank,1,161,0.09045610146492905,0.295955497093378,0,False
head_route_effective_rank,2,161,0.1868800539407671,0.5115833260980639,0,False
head_route_effective_rank,3,161,0.16637196748153024,0.6100292705323236,0,False
head_route_effective_rank,4,161,0.31256592347755197,0.8913426102428487,0,False
head_route_effective_rank,5,161,0.39807674085131345,0.8505213562208398,0,False
head_route_effective_rank,6,161,0.28991630951069897,0.6381627120406486,0,False
head_route_effective_rank,7,161,0.300196391455135,0.6107971020685532,0,False
head_route_effective_rank,8,161,0.41513173032251205,0.7307441618929633,0,False
head_route_effective_rank,9,161,0.42870928634027516,0.7735173194731427,0,False
head_route_effective_rank,10,161,0.297663040042664,0.5276033034808552,0,False
head_route_effective_rank,11,161,0.25269740412694325,0.4750014384058913,0,False
head_route_effective_rank,12,161,0.49083799605043776,0.9894071570165722,0,False
head_route_effective_rank,13,161,0.12029607103478095,0.1732432326295581,0,False
head_route_effective_rank,14,161,0.13447828322463895,0.23024021293580385,0,False
head_route_effective_rank,15,161,0.12490634592423527,0.24914309366124504,0,False
head_route_effective_rank,16,161,0.2628417933209342,0.537842502461386,0,False
head_route_effective_rank,17,161,0.3189019801453774,0.7963751019930374,0,False
head_route_effective_rank,18,161,0.09471936107422255,0.41324241557163854,0,False
head_route_effective_rank,19,161,0.11088590666374064,0.4720904683577826,0,False
head_route_effective_rank,20,161,0.11453971433343355,0.3589192040825828,0,False
head_route_effective_rank,21,161,0.009793990887470128,0.03784801377070297,0,False
head_route_effective_rank,22,161,0.28282685827764664,0.7591766457945496,0,False
head_route_effective_rank,23,161,0.027627485879459738,0.08573025812333351,0,False
head_route_effective_rank,24,161,0.18572952880622437,0.6994658488084741,0,False
head_route_effective_rank,25,161,0.10189789940851816,0.38327082489087183,0,False
head_route_effective_rank,26,161,0.09539440329770864,0.36939703398966717,0,False
head_route_effective_rank,27,161,0.030454904396341454,0.13880893163213168,0,False
head_route_effective_rank,28,161,0.13283889115967365,0.5997103540928271,0,False
head_route_effective_rank,29,161,0.13902496180919385,0.5518452982754097,0,False
head_route_effective_rank,30,161,0.15875788505032937,0.505474708565058,0,False
head_route_effective_rank,31,161,0.07443828020036591,0.2833910337197235,0,False
head_local_intrinsic_dimension,0,161,0.11100471686132206,0.24798210864111755,0,False
head_local_intrinsic_dimension,1,161,-0.10722247858225188,-0.2539020611105921,0,False
head_local_intrinsic_dimension,2,161,0.11954728416774583,0.12870678731532847,0,False
head_local_intrinsic_dimension,3,161,0.12223269480355778,0.2886220679998059,0,False
head_local_intrinsic_dimension,4,161,0.06387117042304566,0.09233846207856128,0,False
head_local_intrinsic_dimension,5,161,0.05352086606233016,0.11013115737587027,0,False
head_local_intrinsic_dimension,6,161,-0.11541917457343628,-0.299629214224338,0,False
head_local_intrinsic_dimension,7,161,-0.028952604495220302,-0.07056071959376112,0,False
head_local_intrinsic_dimension,8,161,0.030982879378040385,0.06472033503618145,0,False
head_local_intrinsic_dimension,9,161,0.1952036182332483,0.41027663387239127,0,False
head_local_intrinsic_dimension,10,161,0.005230000300437027,0.010300873816345146,0,False
head_local_intrinsic_dimension,11,161,-0.011156022918890722,-0.024883612163221238,0,False
head_local_intrinsic_dimension,12,161,0.07689296236689787,0.16179387080091695,0,False
head_local_intrinsic_dimension,13,161,-0.04522303912950599,-0.08783685355501782,0,False
head_local_intrinsic_dimension,14,161,0.236320169816106,0.48306411937825794,0,False
head_local_intrinsic_dimension,15,161,0.14983278179761045,0.3198762328561522,0,False
head_local_intrinsic_dimension,16,161,0.10757189803982373,0.2372302100960056,0,False
head_local_intrinsic_dimension,17,161,0.02346019419083684,0.04343321037690685,0,False
head_local_intrinsic_dimension,18,161,0.0003208595773448115,0.0006650439597180667,0,False
head_local_intrinsic_dimension,19,161,0.19474219387362462,0.3058488344943966,0,False
head_local_intrinsic_dimension,20,161,0.2534754513213353,0.42275934669889303,0,False
head_local_intrinsic_dimension,21,161,0.2636090746577482,0.5444778995489261,0,False
head_local_intrinsic_dimension,22,161,0.19276793106742526,0.32894432773867516,0,False
head_local_intrinsic_dimension,23,161,0.37687964913267524,0.49789739430430874,0,False
head_local_intrinsic_dimension,24,161,0.4743327768693059,0.6284262483706619,0,False
head_local_intrinsic_dimension,25,161,0.32266192554687123,0.47419205399479375,0,False
head_local_intrinsic_dimension,26,161,0.19028913456460703,0.2764752499407075,0,False
head_local_intrinsic_dimension,27,161,0.19188946374454854,0.268939309677424,0,False
head_local_intrinsic_dimension,28,161,0.19768388523078112,0.40226327497520875,0,False
head_local_intrinsic_dimension,29,161,-0.003709653889910775,-0.0047993738688783495,0,False
head_local_intrinsic_dimension,30,161,0.174560182583258,0.37577077987143725,0,False
head_local_intrinsic_dimension,31,161,0.10502196691051033,0.2537063957899808,0,False
direct_prompt_mean,0,161,-0.007391832074763612,-0.3742179829568118,0,False
direct_prompt_mean,1,161,-0.001947753177666516,-0.06702290526391515,0,False
direct_prompt_mean,2,161,-0.006551563369561426,-0.24073471645338979,0,False
direct_prompt_mean,3,161,-0.010382534924501217,-0.298631001046909,0,False
direct_prompt_mean,4,161,-0.017833902969123412,-0.4653288832454197,0,False
direct_prompt_mean,5,161,-0.02075145703665218,-0.441524358761766,0,False
direct_prompt_mean,6,161,-0.018121901876437738,-0.295659756822263,0,False
direct_prompt_mean,7,161,-0.009415441233178844,-0.1777357415038971,0,False
direct_prompt_mean,8,161,-0.004999491368761714,-0.08615844151208772,0,False
direct_prompt_mean,9,161,-0.0037708299130386445,-0.07576486075996652,0,False
direct_prompt_mean,10,161,-0.007353066102318142,-0.1313941239514993,0,False
direct_prompt_mean,11,161,-0.0012974267050346233,-0.025751450866679505,0,False
direct_prompt_mean,12,161,-0.03770019308380459,-0.6341015075633264,0,False
direct_prompt_mean,13,161,0.0037889173312216813,0.04408553765076248,0,False
direct_prompt_mean,14,161,-0.003801008929377017,-0.051029451876866805,0,False
direct_prompt_mean,15,161,-0.01859137397375166,-0.31783330625166395,0,False
direct_prompt_mean,16,161,-0.04040979043297146,-0.621732848417802,0,False
direct_prompt_mean,17,161,-0.022416005963864533,-0.3945358687514581,0,False
direct_prompt_mean,18,161,-0.0015018656387092164,-0.02574685907426309,0,False
direct_prompt_mean,19,161,-0.0204192048274212,-0.4454117949558111,0,False
direct_prompt_mean,20,161,-0.01025847433516698,-0.1687684713217341,0,False
direct_prompt_mean,21,161,0.0020540308508073322,0.03806797190824457,0,False
direct_prompt_mean,22,161,-0.009616331284090599,-0.15565227769533352,0,False
direct_prompt_mean,23,161,-0.01235794872971055,-0.2937245861283299,0,False
direct_prompt_mean,24,161,-0.040091917011308376,-0.9783538903548451,0,False
direct_prompt_mean,25,161,-0.00848209339639415,-0.33505041530320484,0,False
direct_prompt_mean,26,161,-0.023410867830240947,-0.4720031573490403,0,False
