feature,layer,responses,onset_minus_pre,paired_dz,expected_direction,direction_supported
direct_prompt_mean,11,222,-0.005780488521129162,-0.1261110126209643,0,False
direct_prompt_mean,12,222,0.02144025964242918,0.4234448820262622,0,False
direct_prompt_mean,13,222,0.01320296942113756,0.1781114446207007,0,False
direct_prompt_mean,14,222,0.0019257620379731462,0.0310360858340767,0,False
direct_prompt_mean,15,222,-0.001108874071825732,-0.022425848783628077,0,False
direct_prompt_mean,16,222,0.0165746512713733,0.3208120662860915,0,False
direct_prompt_mean,17,222,0.008953103611061166,0.1939023721437626,0,False
direct_prompt_mean,18,222,0.004289073450071318,0.09281275201273162,0,False
direct_prompt_mean,19,222,0.014847575275747626,0.45117287986365295,0,False
direct_prompt_mean,20,222,0.012405411885665343,0.26758871412960444,0,False
direct_prompt_mean,21,222,-0.0012294456765458391,-0.02647405715809837,0,False
direct_prompt_mean,22,222,0.0033138499066636368,0.07335990847346416,0,False
direct_prompt_mean,23,222,0.007288586180489343,0.2092649972383873,0,False
direct_prompt_mean,24,222,0.013283088132067843,0.3812687021848429,0,False
direct_prompt_mean,25,222,0.002823825623538043,0.15773237367728796,0,False
direct_prompt_mean,26,222,0.013234610493118698,0.36600860566683235,0,False
direct_prompt_mean,27,222,0.01383708618782662,0.4616657956378117,0,False
direct_prompt_mean,28,222,0.02114426740654954,0.5333381183912745,0,False
direct_prompt_mean,29,222,0.002183391167236878,0.09504960285457441,0,False
direct_prompt_mean,30,222,0.01962364740199871,0.4154972735275399,0,False
direct_prompt_mean,31,222,0.01623314565366453,0.4213271358316566,0,False
direct_prompt_std,0,222,-0.003115412015635688,-0.37211987159146387,1,False
direct_prompt_std,1,222,-0.0006528367867340912,-0.03510888277188084,1,False
direct_prompt_std,2,222,0.002020042691681836,0.10791837626720215,1,True
direct_prompt_std,3,222,-0.0037970341205059944,-0.16596221079574502,1,False
direct_prompt_std,4,222,-7.529664147007573e-05,-0.0041184402331508815,1,False
direct_prompt_std,5,222,0.0031893286216366397,0.14621631772375243,1,True
direct_prompt_std,6,222,-0.001038920570601214,-0.06769321311237435,1,False
direct_prompt_std,7,222,0.0042502774714349625,0.26300570666667766,1,True
direct_prompt_std,8,222,-0.004132531247697435,-0.24453065927434411,1,False
direct_prompt_std,9,222,0.002666288600848602,0.14939306685518136,1,True
direct_prompt_std,10,222,-0.0007937088071762979,-0.04412518170581282,1,False
direct_prompt_std,11,222,0.0030265366574665446,0.21008287741775017,1,True
direct_prompt_std,12,222,0.005599398333747107,0.2565647528677851,1,True
direct_prompt_std,13,222,-0.0038321094402858804,-0.16046767389801309,1,False
direct_prompt_std,14,222,-0.006881748435196576,-0.3101354877831474,1,False
direct_prompt_std,15,222,0.0013754922258961309,0.06489144135446673,1,True
direct_prompt_std,16,222,-0.006144477507552585,-0.28228171670476726,1,False
direct_prompt_std,17,222,-0.004050400208782505,-0.1739102069171563,1,False
direct_prompt_std,18,222,-0.006433094608354139,-0.19604629012695732,1,False
direct_prompt_std,19,222,-0.008828304741565172,-0.34838465558050163,1,False
direct_prompt_std,20,222,-0.009355816956575926,-0.34580889340898985,1,False
direct_prompt_std,21,222,-0.0038794765064308237,-0.1350932138593425,1,False
direct_prompt_std,22,222,-0.0003433598390033653,-0.011753972337347027,1,False
direct_prompt_std,23,222,-0.011450157710560807,-0.3757177322090212,1,False
direct_prompt_std,24,222,-0.01760927171589018,-0.47085449135051816,1,False
direct_prompt_std,25,222,-0.0022470678563590524,-0.082451720309283,1,False
direct_prompt_std,26,222,-0.010041432169912098,-0.3100302814229325,1,False
direct_prompt_std,27,222,-0.01583899195129807,-0.5908668234102246,1,False
direct_prompt_std,28,222,-0.014456980198890239,-0.4554393063887506,1,False
direct_prompt_std,29,222,-0.006654287914972048,-0.264041440543416,1,False
direct_prompt_std,30,222,-0.010234617502302737,-0.45883210959870613,1,False
direct_prompt_std,31,222,-0.011191836281402691,-0.599034993219525,1,False
grounding_lower_mean,0,222,-0.00045214405467918325,-0.026358838488190445,-1,True
grounding_lower_mean,1,222,0.0028675217349250037,0.10687546401081069,-1,False
grounding_lower_mean,2,222,0.0010302426578762294,0.07868287794607501,-1,False
grounding_lower_mean,3,222,0.0012040771879591383,0.06641320890766225,-1,False
grounding_lower_mean,4,222,0.004276685349576108,0.18895462685189648,-1,False
grounding_lower_mean,5,222,0.008087837481283926,0.31608753200123396,-1,False
grounding_lower_mean,6,222,0.012492470913105182,0.41454422226433413,-1,False
grounding_lower_mean,7,222,0.001991462063144993,0.0643774311559072,-1,False
grounding_lower_mean,8,222,-0.0010921206023242023,-0.024796431583855597,-1,True
grounding_lower_mean,9,222,-4.776157774366774e-05,-0.0011154004200713686,-1,True
grounding_lower_mean,10,222,0.007833330212412653,0.1968674078951639,-1,False
grounding_lower_mean,11,222,-0.00657865834665728,-0.1636648248363278,-1,True
grounding_lower_mean,12,222,0.0013094332304086772,0.037348928610799005,-1,False
grounding_lower_mean,13,222,0.006529331878498868,0.09620975211823424,-1,False
grounding_lower_mean,14,222,-0.002327963172852456,-0.04104199354271453,-1,True
grounding_lower_mean,15,222,-0.004164012165756913,-0.09738724777727734,-1,True
grounding_lower_mean,16,222,0.0024941499168808397,0.0712460381729529,-1,False
grounding_lower_mean,17,222,0.00042156002542994046,0.012125335677537336,-1,False
grounding_lower_mean,18,222,0.00025263321292292966,0.007211476381035322,-1,False
grounding_lower_mean,19,222,0.006763427375673174,0.27370579029083986,-1,False
grounding_lower_mean,20,222,0.008706187611227637,0.25104456548250303,-1,False
grounding_lower_mean,21,222,-0.000774457379504367,-0.021687752429541043,-1,True
grounding_lower_mean,22,222,-0.0012431037318599116,-0.034411102545823954,-1,True
grounding_lower_mean,23,222,0.00046862970601331007,0.018218156688511348,-1,False
grounding_lower_mean,24,222,0.0034462100750691184,0.18845258259522718,-1,False
grounding_lower_mean,25,222,0.0008226560579763876,0.065747006805584,-1,False
grounding_lower_mean,26,222,0.0022066495977006518,0.11754897709637784,-1,False
grounding_lower_mean,27,222,0.004116913488319328,0.2343042685377497,-1,False
grounding_lower_mean,28,222,0.0034970286730173473,0.15133107137506324,-1,False
grounding_lower_mean,29,222,0.00035457165391595516,0.022927290367331127,-1,False
grounding_lower_mean,30,222,0.0008970415806985116,0.03538357802401655,-1,False
grounding_lower_mean,31,222,0.0030254273264257755,0.15645742609569607,-1,False
grounding_lower_std,0,222,-0.003115412015635688,-0.37211987159146387,1,False
grounding_lower_std,1,222,0.0011424384675584398,0.07060261097759299,1,True
grounding_lower_std,2,222,0.0037012614376910097,0.29256157435503366,1,True
grounding_lower_std,3,222,0.0017212092003843805,0.11443529810573143,1,True
grounding_lower_std,4,222,0.0024929854448314187,0.1807262149165552,1,True
grounding_lower_std,5,222,0.001534448382822243,0.08097951534694105,1,True
grounding_lower_std,6,222,0.0017864928320721464,0.11053681957079885,1,True
grounding_lower_std,7,222,0.006565660003337775,0.45905587269475495,1,True
grounding_lower_std,8,222,0.00641445798782615,0.3664681570086853,1,True
grounding_lower_std,9,222,0.007194346504973936,0.36330599998247365,1,True
grounding_lower_std,10,222,0.0036117231792157835,0.17700525981740065,1,True
grounding_lower_std,11,222,0.005002825478981207,0.3256874482189074,1,True
grounding_lower_std,12,222,0.0094393178619243,0.45909545135324675,1,True
grounding_lower_std,13,222,0.0002282866956414403,0.017897757624081922,1,True
grounding_lower_std,14,222,0.00020091396731299323,0.011487220008834448,1,True
