feature,layer,anomaly_auroc,anomaly_auprc,raw_auroc,raw_separability,rewired_anomaly_auroc,real_minus_rewired_auroc
head_local_intrinsic_dimension,30,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,31,nan,nan,nan,nan,nan,nan
direct_prompt_mean,0,nan,nan,nan,nan,nan,nan
direct_prompt_mean,1,nan,nan,nan,nan,nan,nan
direct_prompt_mean,2,nan,nan,nan,nan,nan,nan
direct_prompt_mean,3,nan,nan,nan,nan,nan,nan
direct_prompt_mean,4,nan,nan,nan,nan,nan,nan
direct_prompt_mean,5,nan,nan,nan,nan,nan,nan
direct_prompt_mean,6,nan,nan,nan,nan,nan,nan
direct_prompt_mean,7,nan,nan,nan,nan,nan,nan
direct_prompt_mean,8,nan,nan,nan,nan,nan,nan
direct_prompt_mean,9,nan,nan,nan,nan,nan,nan
direct_prompt_mean,10,nan,nan,nan,nan,nan,nan
direct_prompt_mean,11,nan,nan,nan,nan,nan,nan
direct_prompt_mean,12,nan,nan,nan,nan,nan,nan
direct_prompt_mean,13,nan,nan,nan,nan,nan,nan
direct_prompt_mean,14,nan,nan,nan,nan,nan,nan
direct_prompt_mean,15,nan,nan,nan,nan,nan,nan
direct_prompt_mean,16,nan,nan,nan,nan,nan,nan
direct_prompt_mean,17,nan,nan,nan,nan,nan,nan
direct_prompt_mean,18,nan,nan,nan,nan,nan,nan
direct_prompt_mean,19,nan,nan,nan,nan,nan,nan
direct_prompt_mean,20,nan,nan,nan,nan,nan,nan
direct_prompt_mean,21,nan,nan,nan,nan,nan,nan
direct_prompt_mean,22,nan,nan,nan,nan,nan,nan
direct_prompt_mean,23,nan,nan,nan,nan,nan,nan
direct_prompt_mean,24,nan,nan,nan,nan,nan,nan
direct_prompt_mean,25,nan,nan,nan,nan,nan,nan
direct_prompt_mean,26,nan,nan,nan,nan,nan,nan
direct_prompt_mean,27,nan,nan,nan,nan,nan,nan
direct_prompt_mean,28,nan,nan,nan,nan,nan,nan
direct_prompt_mean,29,nan,nan,nan,nan,nan,nan
direct_prompt_mean,30,nan,nan,nan,nan,nan,nan
direct_prompt_mean,31,nan,nan,nan,nan,nan,nan
direct_prompt_std,0,nan,nan,nan,nan,nan,nan
direct_prompt_std,1,nan,nan,nan,nan,nan,nan
direct_prompt_std,2,nan,nan,nan,nan,nan,nan
direct_prompt_std,3,nan,nan,nan,nan,nan,nan
direct_prompt_std,4,nan,nan,nan,nan,nan,nan
direct_prompt_std,5,nan,nan,nan,nan,nan,nan
direct_prompt_std,6,nan,nan,nan,nan,nan,nan
direct_prompt_std,7,nan,nan,nan,nan,nan,nan
direct_prompt_std,8,nan,nan,nan,nan,nan,nan
direct_prompt_std,9,nan,nan,nan,nan,nan,nan
direct_prompt_std,10,nan,nan,nan,nan,nan,nan
direct_prompt_std,11,nan,nan,nan,nan,nan,nan
direct_prompt_std,12,nan,nan,nan,nan,nan,nan
direct_prompt_std,13,nan,nan,nan,nan,nan,nan
direct_prompt_std,14,nan,nan,nan,nan,nan,nan
direct_prompt_std,15,nan,nan,nan,nan,nan,nan
direct_prompt_std,16,nan,nan,nan,nan,nan,nan
direct_prompt_std,17,nan,nan,nan,nan,nan,nan
direct_prompt_std,18,nan,nan,nan,nan,nan,nan
direct_prompt_std,19,nan,nan,nan,nan,nan,nan
direct_prompt_std,20,nan,nan,nan,nan,nan,nan
direct_prompt_std,21,nan,nan,nan,nan,nan,nan
direct_prompt_std,22,nan,nan,nan,nan,nan,nan
direct_prompt_std,23,nan,nan,nan,nan,nan,nan
direct_prompt_std,24,nan,nan,nan,nan,nan,nan
direct_prompt_std,25,nan,nan,nan,nan,nan,nan
direct_prompt_std,26,nan,nan,nan,nan,nan,nan
direct_prompt_std,27,nan,nan,nan,nan,nan,nan
direct_prompt_std,28,nan,nan,nan,nan,nan,nan
direct_prompt_std,29,nan,nan,nan,nan,nan,nan
direct_prompt_std,30,nan,nan,nan,nan,nan,nan
direct_prompt_std,31,nan,nan,nan,nan,nan,nan
grounding_lower_mean,0,nan,nan,nan,nan,nan,nan
grounding_lower_mean,1,nan,nan,nan,nan,nan,nan
grounding_lower_mean,2,nan,nan,nan,nan,nan,nan
grounding_lower_mean,3,nan,nan,nan,nan,nan,nan
grounding_lower_mean,4,nan,nan,nan,nan,nan,nan
grounding_lower_mean,5,nan,nan,nan,nan,nan,nan
grounding_lower_mean,6,nan,nan,nan,nan,nan,nan
grounding_lower_mean,7,nan,nan,nan,nan,nan,nan
grounding_lower_mean,8,nan,nan,nan,nan,nan,nan
grounding_lower_mean,9,nan,nan,nan,nan,nan,nan
grounding_lower_mean,10,nan,nan,nan,nan,nan,nan
grounding_lower_mean,11,nan,nan,nan,nan,nan,nan
grounding_lower_mean,12,nan,nan,nan,nan,nan,nan
grounding_lower_mean,13,nan,nan,nan,nan,nan,nan
grounding_lower_mean,14,nan,nan,nan,nan,nan,nan
grounding_lower_mean,15,nan,nan,nan,nan,nan,nan
grounding_lower_mean,16,nan,nan,nan,nan,nan,nan
grounding_lower_mean,17,nan,nan,nan,nan,nan,nan
grounding_lower_mean,18,nan,nan,nan,nan,nan,nan
grounding_lower_mean,19,nan,nan,nan,nan,nan,nan
grounding_lower_mean,20,nan,nan,nan,nan,nan,nan
grounding_lower_mean,21,nan,nan,nan,nan,nan,nan
grounding_lower_mean,22,nan,nan,nan,nan,nan,nan
grounding_lower_mean,23,nan,nan,nan,nan,nan,nan
grounding_lower_mean,24,nan,nan,nan,nan,nan,nan
grounding_lower_mean,25,nan,nan,nan,nan,nan,nan
grounding_lower_mean,26,nan,nan,nan,nan,nan,nan
grounding_lower_mean,27,nan,nan,nan,nan,nan,nan
grounding_lower_mean,28,nan,nan,nan,nan,nan,nan
grounding_lower_mean,29,nan,nan,nan,nan,nan,nan
grounding_lower_mean,30,nan,nan,nan,nan,nan,nan
grounding_lower_mean,31,nan,nan,nan,nan,nan,nan
grounding_lower_std,0,nan,nan,nan,nan,nan,nan
grounding_lower_std,1,nan,nan,nan,nan,nan,nan
grounding_lower_std,2,nan,nan,nan,nan,nan,nan
grounding_lower_std,3,nan,nan,nan,nan,nan,nan
grounding_lower_std,4,nan,nan,nan,nan,nan,nan
grounding_lower_std,5,nan,nan,nan,nan,nan,nan
grounding_lower_std,6,nan,nan,nan,nan,nan,nan
grounding_lower_std,7,nan,nan,nan,nan,nan,nan
grounding_lower_std,8,nan,nan,nan,nan,nan,nan
grounding_lower_std,9,nan,nan,nan,nan,nan,nan
grounding_lower_std,10,nan,nan,nan,nan,nan,nan
grounding_lower_std,11,nan,nan,nan,nan,nan,nan
grounding_lower_std,12,nan,nan,nan,nan,nan,nan
grounding_lower_std,13,nan,nan,nan,nan,nan,nan
grounding_lower_std,14,nan,nan,nan,nan,nan,nan
grounding_lower_std,15,nan,nan,nan,nan,nan,nan
grounding_lower_std,16,nan,nan,nan,nan,nan,nan
grounding_lower_std,17,nan,nan,nan,nan,nan,nan
grounding_lower_std,18,nan,nan,nan,nan,nan,nan
grounding_lower_std,19,nan,nan,nan,nan,nan,nan
grounding_lower_std,20,nan,nan,nan,nan,nan,nan
grounding_lower_std,21,nan,nan,nan,nan,nan,nan
grounding_lower_std,22,nan,nan,nan,nan,nan,nan
grounding_lower_std,23,nan,nan,nan,nan,nan,nan
grounding_lower_std,24,nan,nan,nan,nan,nan,nan
grounding_lower_std,25,nan,nan,nan,nan,nan,nan
grounding_lower_std,26,nan,nan,nan,nan,nan,nan
grounding_lower_std,27,nan,nan,nan,nan,nan,nan
grounding_lower_std,28,nan,nan,nan,nan,nan,nan
grounding_lower_std,29,nan,nan,nan,nan,nan,nan
grounding_lower_std,30,nan,nan,nan,nan,nan,nan
grounding_lower_std,31,nan,nan,nan,nan,nan,nan
grounding_upper_mean,0,nan,nan,nan,nan,nan,nan
grounding_upper_mean,1,nan,nan,nan,nan,nan,nan
grounding_upper_mean,2,nan,nan,nan,nan,nan,nan
grounding_upper_mean,3,nan,nan,nan,nan,nan,nan
grounding_upper_mean,4,nan,nan,nan,nan,nan,nan
grounding_upper_mean,5,nan,nan,nan,nan,nan,nan
grounding_upper_mean,6,nan,nan,nan,nan,nan,nan
grounding_upper_mean,7,nan,nan,nan,nan,nan,nan
grounding_upper_mean,8,nan,nan,nan,nan,nan,nan
grounding_upper_mean,9,nan,nan,nan,nan,nan,nan
grounding_upper_mean,10,nan,nan,nan,nan,nan,nan
grounding_upper_mean,11,nan,nan,nan,nan,nan,nan
grounding_upper_mean,12,nan,nan,nan,nan,nan,nan
grounding_upper_mean,13,nan,nan,nan,nan,nan,nan
grounding_upper_mean,14,nan,nan,nan,nan,nan,nan
grounding_upper_mean,15,nan,nan,nan,nan,nan,nan
grounding_upper_mean,16,nan,nan,nan,nan,nan,nan
grounding_upper_mean,17,nan,nan,nan,nan,nan,nan
grounding_upper_mean,18,nan,nan,nan,nan,nan,nan
grounding_upper_mean,19,nan,nan,nan,nan,nan,nan
grounding_upper_mean,20,nan,nan,nan,nan,nan,nan
grounding_upper_mean,21,nan,nan,nan,nan,nan,nan
grounding_upper_mean,22,nan,nan,nan,nan,nan,nan
grounding_upper_mean,23,nan,nan,nan,nan,nan,nan
grounding_upper_mean,24,nan,nan,nan,nan,nan,nan
grounding_upper_mean,25,nan,nan,nan,nan,nan,nan
grounding_upper_mean,26,nan,nan,nan,nan,nan,nan
grounding_upper_mean,27,nan,nan,nan,nan,nan,nan
grounding_upper_mean,28,nan,nan,nan,nan,nan,nan
grounding_upper_mean,29,nan,nan,nan,nan,nan,nan
grounding_upper_mean,30,nan,nan,nan,nan,nan,nan
grounding_upper_mean,31,nan,nan,nan,nan,nan,nan
grounding_interval_width,0,nan,nan,nan,nan,nan,nan
grounding_interval_width,1,nan,nan,nan,nan,nan,nan
grounding_interval_width,2,nan,nan,nan,nan,nan,nan
grounding_interval_width,3,nan,nan,nan,nan,nan,nan
grounding_interval_width,4,nan,nan,nan,nan,nan,nan
grounding_interval_width,5,nan,nan,nan,nan,nan,nan
grounding_interval_width,6,nan,nan,nan,nan,nan,nan
grounding_interval_width,7,nan,nan,nan,nan,nan,nan
grounding_interval_width,8,nan,nan,nan,nan,nan,nan
grounding_interval_width,9,nan,nan,nan,nan,nan,nan
grounding_interval_width,10,nan,nan,nan,nan,nan,nan
grounding_interval_width,11,nan,nan,nan,nan,nan,nan
grounding_interval_width,12,nan,nan,nan,nan,nan,nan
grounding_interval_width,13,nan,nan,nan,nan,nan,nan
grounding_interval_width,14,nan,nan,nan,nan,nan,nan
grounding_interval_width,15,nan,nan,nan,nan,nan,nan
grounding_interval_width,16,nan,nan,nan,nan,nan,nan
grounding_interval_width,17,nan,nan,nan,nan,nan,nan
grounding_interval_width,18,nan,nan,nan,nan,nan,nan
grounding_interval_width,19,nan,nan,nan,nan,nan,nan
grounding_interval_width,20,nan,nan,nan,nan,nan,nan
grounding_interval_width,21,nan,nan,nan,nan,nan,nan
grounding_interval_width,22,nan,nan,nan,nan,nan,nan
