family,layer,auroc,auprc,rewired_auroc,rewired_auprc,auroc_drop,auprc_drop
integration,0,0.5246684350132627,0.057227828960256966,0.5246684350132627,0.057227828960256966,0.0,0.0
integration,1,0.44901856763925735,0.02990906844535919,0.4477984084880637,0.029854972263463876,0.0012201591511936671,5.409618189531479e-05
integration,2,0.5190981432360743,0.038477139123685555,0.5202122015915119,0.038558346503379276,-0.0011140583554376526,-8.120737969372072e-05
integration,3,0.5019098143236074,0.03515273632238677,0.5095490716180372,0.03609875010166791,-0.007639257294429824,-0.0009460137792811421
integration,4,0.3605835543766578,0.02631289117578147,0.3588328912466843,0.02618378585327321,0.001750663129973462,0.00012910532250826057
integration,5,0.446790450928382,0.033705004801652484,0.45437665782493375,0.033893829799386974,-0.0075862068965517615,-0.0001888249977344894
integration,6,0.44525198938992044,0.032867955216615626,0.45013262599469495,0.03342513363165859,-0.004880636604774502,-0.0005571784150429637
integration,7,0.52657824933687,0.036542762201537134,0.536657824933687,0.03753285260086139,-0.010079575596816936,-0.0009900903993242532
integration,8,0.5499204244031829,0.0448925807336861,0.5475862068965517,0.044583961519241905,0.0023342175066312087,0.0003086192144441946
integration,9,0.4613262599469496,0.03101513123495329,0.46302387267904505,0.03116964038676794,-0.0016976127320954548,-0.00015450915181464825
integration,10,0.5163925729442971,0.03629107908233303,0.5149071618037135,0.036126038737542165,0.0014854111405835368,0.0001650403447908677
integration,11,0.5422811671087533,0.03971084424136673,0.5370291777188329,0.03907858169251538,0.005251989389920442,0.0006322625488513478
integration,12,0.5293899204244032,0.034890387412865084,0.5277453580901857,0.03473807426599816,0.001644562334217503,0.00015231314686692254
integration,13,0.5461538461538461,0.04109719831771331,0.5434482758620689,0.040693713067551256,0.002705570291777204,0.00040348525016205283
integration,14,0.4682228116710875,0.03128804087649528,0.4738461538461538,0.031615665951189975,-0.005623342175066326,-0.00032762507469469293
integration,15,0.3990450928381963,0.027516143582313475,0.40509283819628644,0.02796070114407132,-0.006047745358090162,-0.0004445575617578433
integration,16,0.47564986737400533,0.03166937784165021,0.4771352785145889,0.03163476337983605,-0.0014854111405835924,3.4614461814165554e-05
integration,17,0.44323607427055706,0.030099019654396673,0.44201591511936345,0.03005804093310618,0.0012201591511936116,4.097872129049315e-05
integration,18,0.46530503978779836,0.03158878469249166,0.4689124668435013,0.0317516954911557,-0.0036074270557029386,-0.0001629107986640399
integration,19,0.5131034482758621,0.036126953807230876,0.5125729442970822,0.03604108303346913,0.0005305039787798504,8.587077376174396e-05
integration,20,0.5150132625994694,0.03665100053889409,0.5163925729442971,0.03674495792791136,-0.0013793103448276334,-9.395738901726847e-05
integration,21,0.5258355437665782,0.040805049210694264,0.5288063660477453,0.04100486956643756,-0.0029708222811671847,-0.00019982035574329926
integration,22,0.4958090185676393,0.03701346909227214,0.4957559681697613,0.03708620746163439,5.305039787800725e-05,-7.273836936225186e-05
integration,23,0.49819628647214853,0.034578508782698844,0.5004244031830238,0.034658742435872775,-0.0022281167108753053,-8.023365317393061e-05
integration,24,0.42424403183023873,0.03248892276710201,0.4239787798408488,0.03234908740705615,0.0002652519893899252,0.00013983536004585906
integration,25,0.5436339522546418,0.043099558878118366,0.5390981432360742,0.04237143402927013,0.004535809018567649,0.0007281248488482384
integration,26,0.569973474801061,0.041443412671252566,0.5700795755968169,0.04149380988709092,-0.00010610079575590348,-5.039721583835477e-05
integration,27,0.5294429708222811,0.03707938051192367,0.5271087533156499,0.03681693971143134,0.0023342175066312087,0.0002624408004923348
integration,28,0.48923076923076925,0.033724251177813254,0.48647214854111404,0.03351000844411668,0.0027586206896552112,0.00021424273369657215
integration,29,0.5820159151193635,0.043576920131364105,0.5819628647214854,0.04377814195635879,5.305039787806276e-05,-0.0002012218249946851
integration,30,0.46413793103448275,0.03283794334285454,0.46244031830238724,0.03256153703015322,0.0016976127320955103,0.0002764063127013161
integration,31,0.5624403183023873,0.03912944024771395,0.5594164456233423,0.0388486794154347,0.0030238726790450254,0.0002807608322792504
lockin,0,0.4215384615384616,0.032814590255074154,0.5523607427055703,0.04888209636778974,-0.13082228116710876,-0.01606750611271559
lockin,1,0.3430769230769231,0.02552214086542067,0.33374005305039783,0.025603397484643648,0.009336870026525279,-8.125661922297675e-05
lockin,2,0.5014854111405835,0.036841305648936715,0.49050397877984087,0.03507785217543671,0.010981432360742671,0.0017634534735000013
lockin,3,0.4482228116710875,0.03105447771421404,0.4241909814323607,0.029106111242113403,0.024031830238726792,0.0019483664721006363
lockin,4,0.3921485411140584,0.02758856783881394,0.39389920424403185,0.02805753279224331,-0.001750663129973462,-0.000468964953429369
lockin,5,0.5439787798408489,0.04140789826940092,0.4990450928381963,0.045883739965127374,0.044933687002652545,-0.004475841695726457
lockin,6,0.41819628647214857,0.03391201618783098,0.45427055702917774,0.05126009801061593,-0.036074270557029164,-0.017348081822784946
lockin,7,0.47416445623342174,0.037362249755476556,0.4250397877984085,0.04892897172223527,0.04912466843501323,-0.011566721966758717
lockin,8,0.4423872679045093,0.03214182457928466,0.41692307692307695,0.035773020057309375,0.025464190981432322,-0.003631195478024714
lockin,9,0.44551724137931037,0.03253419215191827,0.41490716180371356,0.0410976698553518,0.030610079575596805,-0.008563477703433527
lockin,10,0.5144827586206895,0.04170078439002885,0.46413793103448275,0.04354490469149454,0.05034482758620673,-0.0018441203014656904
lockin,11,0.443342175066313,0.04170353605807044,0.4358090185676393,0.045041093271157684,0.007533156498673699,-0.003337557213087247
lockin,12,0.5507692307692308,0.05015021985750053,0.5248275862068966,0.04176415394260817,0.025941644562334165,0.008386065914892361
lockin,13,0.4880106100795756,0.044608041527718606,0.4782493368700265,0.04434824582232026,0.00976127320954906,0.00025979570539834407
lockin,14,0.4712997347480106,0.03333507690837473,0.4310875331564987,0.032792883120844586,0.0402122015915119,0.0005421937875301416
lockin,15,0.41045092838196284,0.03145907434207612,0.379946949602122,0.03449728104609655,0.030503978779840846,-0.003038206704020427
lockin,16,0.4862599469496021,0.0375913779394153,0.4497082228116711,0.04875395274370036,0.03655172413793101,-0.011162574804285064
lockin,17,0.48981432360742705,0.0354285101340238,0.4380901856763926,0.032583119236904025,0.051724137931034475,0.0028453908971197775
lockin,18,0.5207427055702918,0.036044783528961066,0.4778779840848807,0.03280707224132552,0.042864721485411095,0.0032377112876355446
lockin,19,0.45029177718832897,0.03139962475844285,0.41692307692307695,0.0324185720069819,0.033368700265252016,-0.0010189472485390497
lockin,20,0.5326259946949602,0.03853989670421498,0.4854111405835544,0.03521950730842466,0.0472148541114058,0.003320389395790324
lockin,21,0.5137400530503979,0.04029628774033763,0.5326790450928383,0.03893838481202729,-0.018938992042440317,0.0013579029283103394
lockin,22,0.5370822281167109,0.041152026041897355,0.5328381962864721,0.03612672004354666,0.004244031830238804,0.0050253059983506945
lockin,23,0.42647214854111404,0.030154403055160338,0.42201591511936337,0.029136626641823083,0.004456233421750666,0.0010177764133372548
