representation,task,causal_position_bucket,layer,pseudocount,fit_rows_seen,validation_rows_seen,fit_rows,validation_rows,components,dirichlet_converged,dirichlet_iterations,dirichlet_concentration,dirichlet_average_log_likelihood,logistic_normal_average_log_likelihood,dirichlet_minus_logistic_normal_nats,dirichlet_train_aic_per_row,logistic_normal_train_aic_per_row,mean_l1_error,covariance_relative_frobenius_error,positive_offdiagonal_covariance_fraction,positive_offdiagonal_covariance_mass_ratio,moment_concentration_coefficient_of_variation,nll_pit_ks_statistic,nll_pit_ks_pvalue,nll_tail_probability_below_001_fraction,nll_tail_probability_below_005_fraction
provenance,Data2txt,0,3,0.0001,576,288,576,288,6,True,23,19.322378328613233,22.799805065113205,32.31963612442504,-9.519831059311835,-45.65218947226375,-64.61156266343427,0.06900007855467843,0.706325024258313,0.0,2.440365361306621e-32,0.9999997374325721,0.36328125,1.4523669070021623e-34,0.0,0.0
provenance,Data2txt,0,3,0.001,576,288,576,288,6,True,25,24.021804451351265,17.263408398641538,25.55688793421128,-8.293479535569743,-34.592168085416425,-51.07421678734726,0.0775062662980838,0.7621032814854558,0.0,3.351818541857038e-31,0.9999999724630592,0.2833930121527778,5.862977974747553e-21,0.006944444444444444,0.024305555555555556
provenance,Data2txt,0,4,1e-06,576,288,576,288,6,True,24,17.274780040058403,34.45906556495624,45.783956034242856,-11.324890469286622,-69.12921809959003,-91.62595508166415,0.04373763155111621,0.6072069445399347,0.0,5.686614547245837e-35,0.9999803654644205,0.4387749565972222,5.51779422252458e-51,0.0,0.0
provenance,Data2txt,0,4,0.0001,576,288,576,288,6,True,23,20.71061776903941,22.34458081407611,31.98292774063946,-9.638346926563353,-44.93903496353857,-64.02322774401364,0.05318428406781145,0.6741608659107512,0.0,5.9460779797806654e-34,0.999999802942225,0.3525390625,1.6206920742905745e-32,0.0,0.0
provenance,Data2txt,0,4,0.001,576,288,576,288,6,True,25,25.52063232254457,16.853451100137246,25.184010661019737,-8.33055956088249,-34.006597397264144,-50.4220374428542,0.06106047943716518,0.7333572217546992,0.0,3.4693887022406664e-31,0.9999999796428166,0.310302734375,3.959495435190733e-25,0.013888888888888888,0.027777777777777776
provenance,Data2txt,0,5,1e-06,576,288,576,288,6,True,23,15.48388384897392,34.343765038913034,45.80084689412453,-11.457081855211497,-68.9534432767393,-91.7802817380354,0.06054127147822427,0.6331917050715459,0.0,2.8823461970439157e-39,0.9999823935165819,0.42868381076388884,1.410949646598265e-48,0.0,0.0
provenance,Data2txt,0,5,0.0001,576,288,576,288,6,True,24,18.514729492170318,22.208099030920422,31.996618093665486,-9.788519062745063,-44.714740313591875,-64.17166686037835,0.0688713884428386,0.6948757354317276,0.0,2.122891877089481e-33,0.9999998232814558,0.34912109375,7.025479029793096e-32,0.0,0.0
provenance,Data2txt,0,5,0.001,576,288,576,288,6,True,24,22.66076234102163,16.68634665197284,25.175972509534464,-8.489625857561622,-33.71104216307536,-50.5288459815279,0.07566197448487608,0.7487732164828724,0.0,9.715092327364682e-32,0.9999999817301509,0.314453125,8.273611841881085e-26,0.017361111111111112,0.034722222222222224
provenance,Data2txt,0,6,1e-06,576,288,576,288,6,True,25,17.982383247866338,34.288349032410935,45.635452328782065,-11.347103296371131,-68.57792036581029,-91.22785371596756,0.031700849025926875,0.4652645541739679,0.0,4.333038909440441e-39,0.999978926646858,0.4732801649305556,9.652800130993201e-60,0.0,0.0
provenance,Data2txt,0,6,0.0001,576,288,576,288,6,True,22,21.488243153310425,22.208000140339383,31.85549657213408,-9.647496431794693,-44.410344355642415,-63.67550740792495,0.047206432057904,0.5562117974506973,0.0,4.445539417207559e-33,0.9999997886333495,0.39114040798611116,3.3359175287230318e-40,0.0,0.0
