representation,task,causal_position_bucket,layer,pseudocount,fit_rows_seen,validation_rows_seen,fit_rows,validation_rows,components,dirichlet_converged,dirichlet_iterations,dirichlet_concentration,dirichlet_average_log_likelihood,logistic_normal_average_log_likelihood,dirichlet_minus_logistic_normal_nats,dirichlet_train_aic_per_row,logistic_normal_train_aic_per_row,mean_l1_error,covariance_relative_frobenius_error,positive_offdiagonal_covariance_fraction,positive_offdiagonal_covariance_mass_ratio,moment_concentration_coefficient_of_variation,nll_pit_ks_statistic,nll_pit_ks_pvalue,nll_tail_probability_below_001_fraction,nll_tail_probability_below_005_fraction
provenance,Data2txt,0,18,0.001,576,288,128,128,6,True,24,25.565485135103884,17.68273811137595,25.745465587783777,-8.062727476407826,-34.60455954693643,-50.88482226182231,0.0690464499160803,0.6045135747308796,0.0,2.0012023712304706e-34,0.9999999730182799,0.3671875,5.542534149978852e-16,0.0,0.0
provenance,Data2txt,0,19,1e-06,576,288,128,128,6,True,26,31.99648083819396,35.584928817153,47.25083476106499,-11.66590594391199,-71.38549183095812,-94.35135120564898,0.03650599987379014,0.6166389394057873,0.06666666666666667,0.03504654401588295,0.999965625223186,0.43359375,2.149072486476542e-22,0.0,0.0
provenance,Data2txt,0,19,0.0001,576,288,128,128,6,True,26,39.39944389936447,23.60971661078296,33.46144313073519,-9.85172651995223,-47.48020423794502,-66.77377948815828,0.04377786452719428,0.6914092300454872,0.06666666666666667,0.03504654401588296,0.9999996546602009,0.2890625,5.776341456120769e-10,0.0,0.0
provenance,Data2txt,0,19,0.001,576,288,128,128,6,True,27,50.42138183622797,18.27797449726001,26.717758610782823,-8.439784113522812,-36.88058817687883,-53.29813852637839,0.04992925041531476,0.7561991826800487,0.06666666666666667,0.03504654401588295,0.9999999640109645,0.26953125,1.0551926983948056e-08,0.015625,0.0390625
provenance,Data2txt,0,20,1e-06,576,288,128,128,6,True,25,33.896268273355616,35.12584553271303,47.14534520401883,-12.019499671305807,-71.17359112475583,-94.89093709131083,0.051198074376113525,0.6844762160871711,0.06666666666666667,0.07269859231295188,0.9999741721817076,0.41796875,8.990944961969549e-21,0.0,0.0
provenance,Data2txt,0,20,0.0001,576,288,128,128,6,True,26,41.58968525138604,23.103539395893463,33.3441450424709,-10.240605646577446,-47.303722060351035,-67.28446083227104,0.05973023117389663,0.7450366861753674,0.06666666666666667,0.07269859231295195,0.9999997407707722,0.3359375,2.1947921596940167e-13,0.015625,0.03125
provenance,Data2txt,0,20,0.001,576,288,128,128,6,True,28,52.585336968074024,17.72775166550405,26.54798901851611,-8.82023735301206,-36.770509756013205,-53.667621894751086,0.06591987168694304,0.7956202792729242,0.06666666666666667,0.07269859231295196,0.9999999732082173,0.32421875,1.7752249813670875e-12,0.046875,0.0703125
provenance,Data2txt,0,21,1e-06,576,288,128,128,6,True,23,21.517235673631813,35.36302054665553,46.377411722752456,-11.014391176096929,-70.45529190491175,-92.29161266232819,0.026957607661745698,0.5068241105454298,0.0,1.3435503526339413e-34,0.999978040458509,0.44921875,4.348997194110803e-24,0.0,0.0
provenance,Data2txt,0,21,0.0001,576,288,128,128,6,True,21,26.281918577511536,23.298080624083802,32.609769645871,-9.311689021787195,-46.346168858878514,-64.77638405183416,0.039857219543493486,0.5933034525736807,0.0,3.2527526459994924e-33,0.9999997796239096,0.33203125,4.446104931843403e-13,0.0078125,0.0078125
provenance,Data2txt,0,21,0.001,576,288,128,128,6,True,24,33.51897495397459,17.835831188024954,25.8907092963342,-8.054878108309245,-35.47735819966812,-51.39319159715602,0.049020215407942866,0.6714224449398294,0.0,7.971491251532257e-32,0.9999999772493253,0.28515625,1.0509063100940924e-09,0.0078125,0.0234375
