left,right,relation,dose,left_support,right_support,joint_support,interaction,full,without_left,without_right,without_both,left_conditional,right_conditional,sham_error,numeric_ok,readout,case_id,source_id,side,phase,position,seed,opposed_finite_effects,left_direction_changes,right_direction_changes,nonadditive_effect,small_singles_large_joint
L18H22_head_total,L17H27_head_total,different_heads,0.25,0.1096162367639967,-0.0046780002502453,0.1729350352044649,-0.0679967986907135,-4.697483304481864,-4.807099541245861,-4.6928053042316185,-4.870418339686329,0.1776130354547103,0.0633187984404681,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,False,False,True,False
L18H22_head_total,L17H27_head_total,different_heads,1.0,0.6436043423971949,0.1144269888394431,1.006769987361758,-0.2487386561251199,-4.697483304481864,-5.341087646879059,-4.811910293321307,-5.704253291843622,0.8923429985223148,0.363165644964563,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,False,False,True,False
L18H22_head_total,L18H20_head_total,different_heads,0.25,0.1096162367639967,0.1177897929625197,0.1314177374549991,0.0959882922715174,-4.697483304481864,-4.807099541245861,-4.815273097444384,-4.828901041936863,0.0136279444924793,0.0218015006910023,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,False,False,True,False
L18H22_head_total,L18H20_head_total,different_heads,1.0,0.6436043423971949,0.6963748436400881,0.2940904325737028,1.04588875346358,-4.697483304481864,-5.341087646879059,-5.393858148121952,-4.991573737055567,-0.4022844110663852,-0.349513909823492,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,True,True,True,False
L31H14_head_total,L17H27_head_total,different_heads,0.25,-0.6389713287353516,-0.0046780002502453,-0.6520893466857922,0.0084400177001953,-4.697483304481864,-4.058511975746512,-4.6928053042316185,-4.045393957796072,-0.6474113464355469,-0.0131180179504406,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,False,False,False,False
L31H14_head_total,L17H27_head_total,different_heads,1.0,-1.868490219116212,0.1144269888394431,-1.707295995474519,-0.0467672348022496,-4.697483304481864,-2.828993085365652,-4.811910293321307,-2.9901873090073448,-1.8217229843139624,0.1611942236416927,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,True,False,False,False,False
L31H14_head_total,L18H20_head_total,different_heads,0.25,-0.6389713287353516,0.1177897929625197,-0.5112957478089619,-0.0098857879638698,-4.697483304481864,-4.058511975746512,-4.815273097444384,-4.186187556672902,-0.6290855407714817,0.1276755809263896,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,True,False,False,False,False
L31H14_head_total,L18H20_head_total,different_heads,1.0,-1.868490219116212,0.6963748436400881,-1.0833511848022963,-0.0887641906738272,-4.697483304481864,-2.828993085365652,-5.393858148121952,-3.6141321196795673,-1.7797260284423846,0.7851390343139153,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,True,False,False,True,False
L17H27_head_total,L18H20_head_total,different_heads,0.25,-0.0046780002502453,0.1177897929625197,0.1322380275756387,-0.0191262348633642,-4.697483304481864,-4.6928053042316185,-4.815273097444384,-4.829721332057503,0.0144482346131189,0.136916027825884,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,False,False,False,False
L17H27_head_total,L18H20_head_total,different_heads,1.0,0.1144269888394431,0.6963748436400881,0.5042261398099592,0.3065756926695719,-4.697483304481864,-4.811910293321307,-5.393858148121952,-5.201709444291823,-0.1921487038301288,0.3897991509705161,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,True,False,True,False
L18H22_evidence,L18H22_history,evidence_history,0.25,-0.0946062903798203,0.0275805749300426,-0.1194693141198213,0.0524435986700435,-4.697483304481864,-4.602877014102043,-4.725063879411906,-4.5780139903620425,-0.1470498890498639,-0.0248630237400009,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,False,False,True,False
L18H22_evidence,L18H22_history,evidence_history,1.0,-0.5307315974575548,-0.0007164920177951,-0.618204732773787,0.086756643298437,-4.697483304481864,-4.166751707024309,-4.696766812464069,-4.079278571708077,-0.6174882407559918,-0.0874731353162321,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,False,False,True,False
L31H14_evidence,L31H14_history,evidence_history,0.25,0.0,-0.6416015625,-0.6416015625,0.0,-4.697483304481864,-4.697483304481864,-4.055881741981864,-4.055881741981864,0.0,-0.6416015625,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,False,False,False,False
L31H14_evidence,L31H14_history,evidence_history,1.0,2.6702880859375e-05,-1.8514041900634768,-1.8514041900634768,2.6702880859375e-05,-4.697483304481864,-4.697510007362723,-2.8460791144183872,-2.8460791144183872,0.0,-1.851430892944336,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,False,False,False,False
L17H27_evidence,L17H27_history,evidence_history,0.25,0.0754788473798999,0.0017974053304712,0.1151753723724988,-0.0378991196621276,-4.697483304481864,-4.772962151861764,-4.699280709812335,-4.812658676854363,0.1133779670420276,0.0396965249925989,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,False,False,False,False
L17H27_evidence,L17H27_history,evidence_history,1.0,0.0738872136655057,0.2452132797637913,0.1301262833232552,0.1889742101060418,-4.697483304481864,-4.77137051814737,-4.942696584245655,-4.827609587805119,-0.1150869964405361,0.0562390696577494,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,True,False,True,False
L18H20_evidence,L18H20_history,evidence_history,0.25,0.1256220529489589,0.0120814393955415,0.1992429694783961,-0.0615394771338957,-4.697483304481864,-4.823105357430823,-4.709564743877405,-4.89672627396026,0.1871615300828546,0.0736209165294372,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,False,False,True,False
L18H20_evidence,L18H20_history,evidence_history,1.0,0.8359297443462061,-0.0330955464169617,0.7775967612267918,0.0252374367024525,-4.697483304481864,-5.53341304882807,-4.664387758064902,-5.475080065708656,0.8106923076437536,-0.0583329831194143,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,False,False,False,False
L18H22_evidence,L18H22_inapplicable_source,applicable_inapplicable,0.25,-0.0946062903798203,0.0661024473190368,-0.1740461233981172,0.1455422803373336,-4.697483304481864,-4.602877014102043,-4.763585751800901,-4.523437181083747,-0.240148570717154,-0.0794398330182968,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,True,False,True,True,False
L18H22_evidence,L18H22_inapplicable_source,applicable_inapplicable,1.0,-0.5307315974575548,0.2436131143273527,-0.3103978773733304,0.0232793942431284,-4.697483304481864,-4.166751707024309,-4.941096418809217,-4.387085427108533,-0.5540109917006832,0.2203337200842243,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,True,False,False,False,False
L31H14_evidence,L31H14_inapplicable_source,applicable_inapplicable,0.25,0.0,0.0,0.0,0.0,-4.697483304481864,-4.697483304481864,-4.697483304481864,-4.697483304481864,0.0,0.0,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,False,False,False,False
L31H14_evidence,L31H14_inapplicable_source,applicable_inapplicable,1.0,2.6702880859375e-05,0.0,2.6702880859375e-05,0.0,-4.697483304481864,-4.697510007362723,-4.697483304481864,-4.697510007362723,2.6702880859375e-05,0.0,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,False,False,False,False
L17H27_evidence,L17H27_inapplicable_source,applicable_inapplicable,0.25,0.0754788473798999,0.0168320967251363,-0.0722605742074042,0.1645715183124405,-4.697483304481864,-4.772962151861764,-4.714315401207,-4.62522273027446,-0.0890926709325405,-0.1477394215873042,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,True,False,True,False
L17H27_evidence,L17H27_inapplicable_source,applicable_inapplicable,1.0,0.0738872136655057,0.1363317993513915,0.0112086761685921,0.1990103368483051,-4.697483304481864,-4.77137051814737,-4.833815103833255,-4.708691980650456,-0.1251231231827994,-0.0626785374969136,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,False,True,True,True,False
L18H20_evidence,L18H20_inapplicable_source,applicable_inapplicable,0.25,0.1256220529489589,-0.1951872480097476,0.1070591338966631,-0.1766243289574518,-4.697483304481864,-4.823105357430823,-4.502296056472116,-4.804542438378527,0.3022463819064107,-0.0185629190522957,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,True,False,False,True,False
L18H20_evidence,L18H20_inapplicable_source,applicable_inapplicable,1.0,0.8359297443462061,-0.2363641094297097,0.6585855418435038,-0.0590199069270074,-4.697483304481864,-5.53341304882807,-4.461119195052154,-5.356068846325368,0.8949496512732136,-0.1773442025027023,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,True,False,False,True,False
L12H2_head_total,L12H1_head_total,different_heads,0.25,-0.0373380555595792,0.4849300045485032,0.5491568425310405,-0.1015648935421165,6.077786245542399,6.115124301101978,5.592856240993895,5.528629403011358,0.0642268379825372,0.5864948980906197,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,False,True,False
L12H2_head_total,L12H1_head_total,different_heads,1.0,0.8792830509492315,1.803716215919012,2.7964702839740423,-0.1134710171057986,6.077786245542399,5.198503194593167,4.274070029623386,3.2813159615683563,0.9927540680550302,1.9171872330248108,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,False,True,False
L12H2_head_total,L12H12_head_total,different_heads,0.25,-0.0373380555595792,0.6309982219775776,0.7416020787574764,-0.147941912339478,6.077786245542399,6.115124301101978,5.446788023564821,5.336184166784922,0.1106038567798988,0.7789401343170557,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,False,True,False
L12H2_head_total,L12H12_head_total,different_heads,1.0,0.8792830509492315,1.5622846479535344,2.242413100075394,0.1991545988273713,6.077786245542399,5.198503194593167,4.515501597588864,3.835373145467004,0.6801284521218602,1.363130049126163,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,False,True,False
L12H2_head_total,L12H31_head_total,different_heads,0.25,-0.0373380555595792,-0.5905555788989085,-0.439053574111905,-0.1888400603465827,6.077786245542399,6.115124301101978,6.668341824441307,6.516839819654304,0.1515020047870034,-0.4017155185523258,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,False,True,False
L12H2_head_total,L12H31_head_total,different_heads,1.0,0.8792830509492315,-1.3709495504154745,-0.8569702386625346,0.3653037391962916,6.077786245542399,5.198503194593167,7.448735795957873,6.934756484204933,0.5139793117529399,-1.7362532896117662,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,True,False,False,True,False
L12H1_head_total,L12H12_head_total,different_heads,0.25,0.4849300045485032,0.6309982219775776,1.021133665577592,0.0947945609484888,6.077786245542399,5.592856240993895,5.446788023564821,5.056652579964807,0.3901354436000144,0.5362036610290888,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,False,True,False
L12H1_head_total,L12H12_head_total,different_heads,1.0,1.803716215919012,1.5622846479535344,2.47942884279783,0.8865720210747163,6.077786245542399,4.274070029623386,4.515501597588864,3.5983574027445684,0.9171441948442958,0.6757126268788181,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,False,True,False
L12H1_head_total,L12H31_head_total,different_heads,0.25,0.4849300045485032,-0.5905555788989085,-0.0348609770199441,-0.0707645973304611,6.077786245542399,5.592856240993895,6.668341824441307,6.112647222562343,0.5556946018789644,-0.5197909815684474,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,True,False,False,True,False
L12H1_head_total,L12H31_head_total,different_heads,1.0,1.803716215919012,-1.3709495504154745,0.0932450005819465,0.3395216649215911,6.077786245542399,4.274070029623386,7.448735795957873,5.984541244960452,1.464194550997421,-1.7104712153370656,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,True,False,False,True,False
