layer,head,selection,unit,receiver,source_group,dose,full,cut,support,sham_error,numeric_ok,readout,control,case_id,source_id,side,phase,position,seed
18,22,paired_gradient,L18H22_history,468,history,1.0,-4.697483304481864,-4.696766812464069,-0.0007164920177951,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,22,paired_gradient,L18H22_query_self,468,query_self,0.25,-4.697483304481864,-4.675782001780417,-0.0217013027014472,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,22,paired_gradient,L18H22_query_self,468,query_self,1.0,-4.697483304481864,-4.643624469148026,-0.0538588353338376,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,22,paired_gradient,L18H22_prior_history,468,prior_history,0.25,-4.697483304481864,-4.722067396090364,0.0245840916085002,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,22,paired_gradient,L18H22_prior_history,468,prior_history,1.0,-4.697483304481864,-4.725212907655542,0.027729603173678,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,22,paired_gradient,L18H22_head_total,468,head_total,0.25,-4.697483304481864,-4.807099541245861,0.1096162367639967,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,22,paired_gradient,L18H22_head_total,468,head_total,1.0,-4.697483304481864,-5.341087646879059,0.6436043423971949,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,22,paired_gradient,L18H22_head_total,468,head_total,1.0,-4.697483304481864,-4.379214172677325,-0.3182691318045387,0.0,True,sequence_margin,equal_norm_random,14315_headwear_scope,14315,unsupported,onset,35,2
31,14,paired_gradient,L31H14_evidence,468,evidence,0.25,-4.697483304481864,-4.697483304481864,0.0,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
31,14,paired_gradient,L31H14_evidence,468,evidence,1.0,-4.697483304481864,-4.697510007362723,2.6702880859375e-05,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
31,14,paired_gradient,L31H14_inapplicable_source,468,inapplicable_source,0.25,-4.697483304481864,-4.697483304481864,0.0,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
31,14,paired_gradient,L31H14_inapplicable_source,468,inapplicable_source,1.0,-4.697483304481864,-4.697483304481864,0.0,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
31,14,paired_gradient,L31H14_history,468,history,0.25,-4.697483304481864,-4.055881741981864,-0.6416015625,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
31,14,paired_gradient,L31H14_history,468,history,1.0,-4.697483304481864,-2.8460791144183872,-1.8514041900634768,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
31,14,paired_gradient,L31H14_query_self,468,query_self,0.25,-4.697483304481864,-4.044883969765067,-0.6525993347167969,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
31,14,paired_gradient,L31H14_query_self,468,query_self,1.0,-4.697483304481864,-2.8571808371356715,-1.8403024673461923,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
31,14,paired_gradient,L31H14_prior_history,468,prior_history,0.25,-4.697483304481864,-4.68902421329534,-0.0084590911865234,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
