feature,layer,responses,standardized_late_minus_onset,paired_dz,expected_direction,direction_supported
prompt_provenance_head_std,23,161,-0.4339951934373897,-0.5888809833340277,0,
prompt_provenance_head_std,24,161,-0.3647301130644653,-0.3839347023557664,0,
prompt_provenance_head_std,25,161,-0.44941750571409367,-0.5776047904649315,0,
prompt_provenance_head_std,26,161,-0.42382861397327476,-0.5141979722685249,0,
prompt_provenance_head_std,27,161,0.016182972222381495,0.01735799688025965,0,
prompt_provenance_head_std,28,161,-0.4795519775531677,-0.5555379271229904,0,
prompt_provenance_head_std,29,161,-0.13051708287889172,-0.15018305731017362,0,
prompt_provenance_head_std,30,161,-0.44022719936896554,-0.537432462352667,0,
prompt_provenance_head_std,31,161,-0.31144088196643394,-0.3531338833743498,0,
prompt_anchor_head_agreement,0,161,-0.5289878823233317,-0.2952299445938543,0,
prompt_anchor_head_agreement,1,161,0.07684750290390868,0.17843272259717977,0,
prompt_anchor_head_agreement,2,161,0.0009354686144716251,0.0019535249392935087,0,
prompt_anchor_head_agreement,3,161,0.0011134325347331741,0.0023861124419826112,0,
prompt_anchor_head_agreement,4,161,-0.009135501540225485,-0.01706369741253805,0,
prompt_anchor_head_agreement,5,161,-0.06007813518832189,-0.10413780662643482,0,
prompt_anchor_head_agreement,6,161,0.02817188730891447,0.04058752931685569,0,
prompt_anchor_head_agreement,7,161,-0.01745101291200389,-0.02234107544593234,0,
prompt_anchor_head_agreement,8,161,0.038998779765567426,0.04766144335341086,0,
prompt_anchor_head_agreement,9,161,0.07229656082873019,0.08510399927006106,0,
prompt_anchor_head_agreement,10,161,0.06127767861814973,0.09091992226277823,0,
prompt_anchor_head_agreement,11,161,-0.02246286335939206,-0.02738689912860915,0,
prompt_anchor_head_agreement,12,161,-0.21192049286010103,-0.27422449547342487,0,
prompt_anchor_head_agreement,13,161,0.22163790945680986,0.2694013431977434,0,
prompt_anchor_head_agreement,14,161,0.21122721948238635,0.22685393120221367,0,
prompt_anchor_head_agreement,15,161,0.2706477219782631,0.3063414033376016,0,
prompt_anchor_head_agreement,16,161,0.2482921881890445,0.27097766915653027,0,
prompt_anchor_head_agreement,17,161,0.3166458288566296,0.48547119310623676,0,
prompt_anchor_head_agreement,18,161,0.39274429377191555,0.4684283861113855,0,
prompt_anchor_head_agreement,19,161,0.22906631185031084,0.5187339824456374,0,
prompt_anchor_head_agreement,20,161,0.31256064855904314,0.42252845994094995,0,
prompt_anchor_head_agreement,21,161,0.2356377384677437,0.3329456079817717,0,
prompt_anchor_head_agreement,22,161,0.1383409874039407,0.1646750801673396,0,
prompt_anchor_head_agreement,23,161,0.21853183071065393,0.2649728489352957,0,
prompt_anchor_head_agreement,24,161,-0.02080645675984969,-0.027561926177921886,0,
prompt_anchor_head_agreement,25,161,0.1183754164980065,0.14237870823926072,0,
prompt_anchor_head_agreement,26,161,-0.11449185550583076,-0.15713197163070441,0,
prompt_anchor_head_agreement,27,161,-0.23987055870687,-0.3665907363615361,0,
prompt_anchor_head_agreement,28,161,0.08169617156804719,0.1124796233594249,0,
prompt_anchor_head_agreement,29,161,-0.34010655391290323,-0.3235509448810805,0,
prompt_anchor_head_agreement,30,161,-0.20868199258487416,-0.26792404515246326,0,
prompt_anchor_head_agreement,31,161,-0.04374194293288711,-0.061009008203944476,0,
prompt_provenance_lower_mean,0,161,0.10153813792033965,0.20866136840468874,-1,False
prompt_provenance_lower_mean,1,161,0.00808167517740534,0.01017032990731898,-1,False
prompt_provenance_lower_mean,2,161,0.001531683070504147,0.001598394601174707,-1,False
prompt_provenance_lower_mean,3,161,-0.00842350647316216,-0.008200704000100421,-1,True
prompt_provenance_lower_mean,4,161,0.04340166214460171,0.04796252503067507,-1,False
prompt_provenance_lower_mean,5,161,-0.031673340925148556,-0.03489160211566017,-1,True
prompt_provenance_lower_mean,6,161,0.1135072285159034,0.11744040634168161,-1,False
prompt_provenance_lower_mean,7,161,0.33661604094209135,0.38009538491714423,-1,False
prompt_provenance_lower_mean,8,161,0.430227697497199,0.4842827370615698,-1,False
prompt_provenance_lower_mean,9,161,0.42438172343077124,0.5308132917977187,-1,False
prompt_provenance_lower_mean,10,161,0.3752503333995061,0.43643858292706783,-1,False
prompt_provenance_lower_mean,11,161,0.4220152625941342,0.5001453501063597,-1,False
prompt_provenance_lower_mean,12,161,0.18576700439364274,0.2199951800869465,-1,False
prompt_provenance_lower_mean,13,161,0.29596739970378994,0.3913433864932723,-1,False
prompt_provenance_lower_mean,14,161,0.27637341470451826,0.34241261015341784,-1,False
prompt_provenance_lower_mean,15,161,0.31833273996107325,0.38172637430722417,-1,False
prompt_provenance_lower_mean,16,161,0.008986374536841552,0.009823126181725317,-1,False
prompt_provenance_lower_mean,17,161,0.08398113936556052,0.09073864143363387,-1,False
prompt_provenance_lower_mean,18,161,0.2887960321136883,0.3026883434444078,-1,False
prompt_provenance_lower_mean,19,161,0.013667554820176238,0.013897243281486154,-1,False
prompt_provenance_lower_mean,20,161,0.14096290187806076,0.14056104759034999,-1,False
prompt_provenance_lower_mean,21,161,0.32403266388251917,0.35847585194579257,-1,False
prompt_provenance_lower_mean,22,161,0.22234041169748542,0.22533840306319558,-1,False
prompt_provenance_lower_mean,23,161,0.13557760408206015,0.15346221773616553,-1,False
prompt_provenance_lower_mean,24,161,-0.27245053128333563,-0.29230583271170046,-1,True
prompt_provenance_lower_mean,25,161,0.006949584815442932,0.00781579633570875,-1,False
prompt_provenance_lower_mean,26,161,-0.009777322157014231,-0.010270596381762422,-1,True
prompt_provenance_lower_mean,27,161,-0.2058774230087766,-0.22039899464295065,-1,True
prompt_provenance_lower_mean,28,161,0.07188336713158566,0.07616122631833408,-1,False
prompt_provenance_lower_mean,29,161,-0.03409501378025327,-0.035674595771528754,-1,True
prompt_provenance_lower_mean,30,161,-0.04819849656420465,-0.05292814080697315,-1,True
prompt_provenance_lower_mean,31,161,-0.17431741383690272,-0.19172360795587648,-1,True
