id,source_id,error_start,normal_start,length,observed_tokens,method,aggregation,error_score,normal_score,gap,paired_win
13161,15112,327,317,5,2,past_ewma,current,0.7125183536163877,0.3980017947312015,0.3145165588851862,1.0
13161,15112,327,317,5,2,past_ewma,prefix_mean,0.6506371786522731,0.43472354816732073,0.21591363048495238,1.0
13161,15112,327,317,5,2,current_increment,current,0.3072239741683006,-0.3960123151540757,0.7032362893223763,1.0
13161,15112,327,317,5,2,current_increment,prefix_mean,0.3736915498971939,-0.3287782579660416,0.7024698078632354,1.0
13161,15112,327,317,5,4,current,current,0.7129266262054443,0.3421015441417694,0.3708250820636749,1.0
13161,15112,327,317,5,4,current,prefix_mean,0.7423285245895386,0.239471111446619,0.5028574131429195,1.0
13161,15112,327,317,5,4,past_ewma,current,0.6995535242942947,0.2107385445921574,0.48881497970213733,1.0
13161,15112,327,317,5,4,past_ewma,prefix_mean,0.6835864888086831,0.3369837400648573,0.3466027487438258,1.0
13161,15112,327,317,5,4,current_increment,current,0.1527445912361145,-0.067011173069477,0.21975576430559152,1.0
13161,15112,327,317,5,4,current_increment,prefix_mean,0.26418018788099284,-0.259356876462698,0.5235370643436908,1.0
13161,15112,179,144,32,1,current,current,0.7546003460884094,0.1547405272722244,0.599859818816185,1.0
13161,15112,179,144,32,1,current,prefix_mean,0.7546003460884094,0.1547405272722244,0.599859818816185,1.0
13161,15112,179,144,32,1,past_ewma,current,0.3416623067093257,0.2551618026121898,0.08650050409713589,1.0
13161,15112,179,144,32,1,past_ewma,prefix_mean,0.3416623067093257,0.2551618026121898,0.08650050409713589,1.0
13161,15112,179,144,32,1,current_increment,current,0.555850463360548,-0.017941178381443,0.573791641741991,1.0
13161,15112,179,144,32,1,current_increment,prefix_mean,0.555850463360548,-0.017941178381443,0.573791641741991,1.0
13161,15112,179,144,32,2,current,current,0.4941446781158447,0.204094260931015,0.2900504171848297,1.0
13161,15112,179,144,32,2,current,prefix_mean,0.6243725121021271,0.1794173941016197,0.44495511800050735,1.0
13161,15112,179,144,32,2,past_ewma,current,0.5481313263988676,0.2049511649422071,0.3431801614566605,1.0
13161,15112,179,144,32,2,past_ewma,prefix_mean,0.44489681655409663,0.23005648377719845,0.21484033277689818,1.0
13161,15112,179,144,32,2,current_increment,current,0.2378490395843983,0.0324459493160247,0.20540309026837358,1.0
13161,15112,179,144,32,2,current_increment,prefix_mean,0.39684975147247314,0.00725238546729085,0.3895973660051823,1.0
13161,15112,179,144,32,4,current,current,0.41867196559906,0.3014020919799804,0.11726987361907959,1.0
13161,15112,179,144,32,4,current,prefix_mean,0.49630364775657654,0.21066150441765785,0.2856421433389187,1.0
13161,15112,179,144,32,4,past_ewma,current,0.419467801740174,0.1934659252120112,0.2260018765281628,1.0
13161,15112,179,144,32,4,past_ewma,prefix_mean,0.4575998592764309,0.21452540142575477,0.2430744578506761,1.0
13161,15112,179,144,32,4,current_increment,current,0.1108172483742236,0.1160542026162146,-0.005236954241990999,0.0
13161,15112,179,144,32,4,current_increment,prefix_mean,0.2333716366440057,0.033798175677657076,0.19957346096634862,1.0
13161,15112,179,144,32,8,current,current,0.7923416495323181,0.2210171371698379,0.5713245123624802,1.0
13161,15112,179,144,32,8,current,prefix_mean,0.5613661892712116,0.2307194285094738,0.3306467607617378,1.0
13161,15112,179,144,32,8,past_ewma,current,0.5054241862700882,0.2624834575352138,0.24294072873487443,1.0
13161,15112,179,144,32,8,past_ewma,prefix_mean,0.4845610364732422,0.2340723048243897,0.25048873164885255,1.0
13161,15112,179,144,32,8,current_increment,current,0.3158805534243584,-0.0255942642688751,0.3414748176932335,1.0
13161,15112,179,144,32,8,current_increment,prefix_mean,0.2222665735520422,0.028570433240383823,0.19369614031165838,1.0
13263,15130,93,76,17,1,current,current,0.2396935820579528,0.1478084772825241,0.09188510477542869,1.0
13263,15130,93,76,17,1,current,prefix_mean,0.2396935820579528,0.1478084772825241,0.09188510477542869,1.0
13263,15130,93,76,17,1,past_ewma,current,0.2240224305499976,0.1380900727306194,0.08593235781937819,1.0
13263,15130,93,76,17,1,past_ewma,prefix_mean,0.2240224305499976,0.1380900727306194,0.08593235781937819,1.0
13263,15130,93,76,17,1,current_increment,current,0.0054001241922377,-0.0146318420767784,0.0200319662690161,1.0
13263,15130,93,76,17,1,current_increment,prefix_mean,0.0054001241922377,-0.0146318420767784,0.0200319662690161,1.0
13263,15130,93,76,17,2,current,current,0.2531925737857818,0.1717808544635772,0.08141171932220462,1.0
13263,15130,93,76,17,2,current,prefix_mean,0.24644307792186732,0.15979466587305063,0.08664841204881668,1.0
13263,15130,93,76,17,2,past_ewma,current,0.2318580063039752,0.1429492750065717,0.08890873129740351,1.0
13263,15130,93,76,17,2,past_ewma,prefix_mean,0.22794021842698642,0.14051967386859554,0.08742054455839088,1.0
13263,15130,93,76,17,2,current_increment,current,0.0112364649772643,0.0087513521313666,0.0024851128458977002,1.0
13263,15130,93,76,17,2,current_increment,prefix_mean,0.008318294584751,-0.0029402449727059,0.0112585395574569,1.0
13263,15130,93,76,17,4,current,current,0.3381429016590118,0.1677423417568206,0.1704005599021912,1.0
13263,15130,93,76,17,4,current,prefix_mean,0.27750502526760096,0.1845755316317081,0.09292949363589287,1.0
13263,15130,93,76,17,4,past_ewma,current,0.2607581668062679,0.2041677588794925,0.05659040792677539,1.0
13263,15130,93,76,17,4,past_ewma,prefix_mean,0.2397909734262798,0.1606430428379395,0.0791479305883403,1.0
13263,15130,93,76,17,4,current_increment,current,0.0868863925337791,-0.0054105967283249,0.092296989262104,1.0
13263,15130,93,76,17,4,current_increment,prefix_mean,0.0336346734315156,0.01886423677206035,0.014770436659455249,1.0
13263,15130,93,76,17,8,current,current,0.3594721555709839,0.1630670726299286,0.1964050829410553,1.0
13263,15130,93,76,17,8,current,prefix_mean,0.2935851775109768,0.16653465479612348,0.12705052271485331,1.0
13263,15130,93,76,17,8,past_ewma,current,0.2930227539996534,0.1613268632104887,0.1316958907891647,1.0
13263,15130,93,76,17,8,past_ewma,prefix_mean,0.2680289214521465,0.16050793099872615,0.10752099045342037,1.0
13263,15130,93,76,17,8,current_increment,current,0.0914625480771064,0.0021950960159301,0.0892674520611763,1.0
13263,15130,93,76,17,8,current_increment,prefix_mean,0.040179500542581,0.0022934427484869596,0.03788605779409404,1.0
13293,15135,59,44,9,1,current,current,0.2966377139091491,0.1742789894342422,0.12235872447490692,1.0
13293,15135,59,44,9,1,current,prefix_mean,0.2966377139091491,0.1742789894342422,0.12235872447490692,1.0
13293,15135,59,44,9,1,past_ewma,current,0.154863029568358,0.1995188453240066,-0.04465581575564859,0.0
13293,15135,59,44,9,1,past_ewma,prefix_mean,0.154863029568358,0.1995188453240066,-0.04465581575564859,0.0
13293,15135,59,44,9,1,current_increment,current,0.1324891120195387,0.0093929350376128,0.1230961769819259,1.0
13293,15135,59,44,9,1,current_increment,prefix_mean,0.1324891120195387,0.0093929350376128,0.1230961769819259,1.0
13293,15135,59,44,9,2,current,current,0.1871036440134048,0.1488375514745712,0.03826609253883359,1.0
13293,15135,59,44,9,2,current,prefix_mean,0.24187067896127695,0.16155827045440668,0.08031240850687027,1.0
13293,15135,59,44,9,2,past_ewma,current,0.2257503717387535,0.1868989173791244,0.03885145435962911,1.0
13293,15135,59,44,9,2,past_ewma,prefix_mean,0.19030670065355576,0.1932088813515655,-0.0029021806980097375,0.0
13293,15135,59,44,9,2,current_increment,current,0.0104335263371466,-0.0161211252212524,0.026554651558399,1.0
13293,15135,59,44,9,2,current_increment,prefix_mean,0.07146131917834264,-0.0033640950918197993,0.07482541427016244,1.0
13293,15135,59,44,9,4,current,current,0.7499769926071167,0.1485183387994766,0.6014586538076401,1.0
13293,15135,59,44,9,4,current,prefix_mean,0.44924648478627205,0.15551332384347913,0.2937331609427929,1.0
13293,15135,59,44,9,4,past_ewma,current,0.3848472982457483,0.1591433250462371,0.22570397319951122,1.0
13293,15135,59,44,9,4,past_ewma,prefix_mean,0.24297192685723473,0.17835733054405398,0.06461459631318076,1.0
13293,15135,59,44,9,4,current_increment,current,0.5310536250472068,-0.0190356165170669,0.5500892415642736,1.0
13293,15135,59,44,9,4,current_increment,prefix_mean,0.2646962985396384,-0.010529590398073201,0.2752258889377116,1.0
13293,15135,59,44,9,8,current,current,0.2944097220897674,0.1586204916238784,0.135789230465889,1.0
13293,15135,59,44,9,8,current,prefix_mean,0.4771799389272928,0.16628141887485975,0.31089852005243307,1.0
13293,15135,59,44,9,8,past_ewma,current,0.4966595107677778,0.1728107098089863,0.32384880095879154,1.0
13293,15135,59,44,9,8,past_ewma,prefix_mean,0.4170120422121891,0.1747322300267533,0.24227981218543582,1.0
13293,15135,59,44,9,8,current_increment,current,-0.1045105606317521,-0.0148758366703987,-0.0896347239613534,0.0
13293,15135,59,44,9,8,current_increment,prefix_mean,0.21058650147169816,-0.0029670353978872256,0.2135535368695854,1.0
13917,15239,25,15,10,1,current,current,0.27387735247612,0.1738700419664383,0.1000073105096817,1.0
13917,15239,25,15,10,1,current,prefix_mean,0.27387735247612,0.1738700419664383,0.1000073105096817,1.0
13917,15239,25,15,10,1,past_ewma,current,0.2479803387538814,0.1206061241441602,0.1273742146097212,1.0
13917,15239,25,15,10,1,past_ewma,prefix_mean,0.2479803387538814,0.1206061241441602,0.1273742146097212,1.0
13917,15239,25,15,10,1,current_increment,current,0.0533113665878772,0.0793880075216293,-0.02607664093375211,0.0
13917,15239,25,15,10,1,current_increment,prefix_mean,0.0533113665878772,0.0793880075216293,-0.02607664093375211,0.0
13917,15239,25,15,10,2,current,current,0.1444960683584213,0.1124453470110893,0.032050721347332,1.0
13917,15239,25,15,10,2,current,prefix_mean,0.20918671041727066,0.1431576944887638,0.06602901592850685,1.0
13917,15239,25,15,10,2,past_ewma,current,0.2609288456150007,0.1472380830552992,0.11369076255970148,1.0
13917,15239,25,15,10,2,past_ewma,prefix_mean,0.25445459218444105,0.1339221035997297,0.12053248858471136,1.0
13917,15239,25,15,10,2,current_increment,current,-0.0860706485807895,0.0071566849946975,-0.093227333575487,0.0
13917,15239,25,15,10,2,current_increment,prefix_mean,-0.01637964099645615,0.043272346258163404,-0.05965198725461955,0.0
13917,15239,25,15,10,4,current,current,0.1174260079860687,0.1715778559446334,-0.0541518479585647,0.0
13917,15239,25,15,10,4,current,prefix_mean,0.15816330909729004,0.14522264711558816,0.012940661981701879,1.0
13917,15239,25,15,10,4,past_ewma,current,0.1497831322776305,0.1264195292866929,0.023363602990937593,1.0
13917,15239,25,15,10,4,past_ewma,prefix_mean,0.2153511934083059,0.13102636287983666,0.08432483052846926,1.0
13917,15239,25,15,10,4,current_increment,current,-0.1137314274907112,0.0571404293179511,-0.1708718568086623,0.0
13917,15239,25,15,10,4,current_increment,prefix_mean,-0.07085217274725435,0.03921030517667525,-0.11006247792392959,0.0
13917,15239,25,15,10,8,current,current,0.1991811394691467,0.2586392760276794,-0.05945813655853269,0.0
13917,15239,25,15,10,8,current,prefix_mean,0.15652897302061317,0.21885300334542984,-0.062324030324816676,0.0
13917,15239,25,15,10,8,past_ewma,current,0.139143284273812,0.2377275619635774,-0.09858427768976538,0.0
13917,15239,25,15,10,8,past_ewma,prefix_mean,0.17623350474121363,0.1869586796325628,-0.010725174891349165,0.0
13917,15239,25,15,10,8,current_increment,current,0.022528564184904,0.0735876433551311,-0.051059079170227104,0.0
13917,15239,25,15,10,8,current_increment,prefix_mean,-0.05525181256234646,0.08490359438583249,-0.14015540694817896,0.0
13917,15239,95,70,23,1,current,current,0.2475820332765579,0.2925716638565063,-0.0449896305799484,0.0
13917,15239,95,70,23,1,current,prefix_mean,0.2475820332765579,0.2925716638565063,-0.0449896305799484,0.0
13917,15239,95,70,23,1,past_ewma,current,0.2298919322681116,0.2894323990781798,-0.05954046681006819,0.0
13917,15239,95,70,23,1,past_ewma,prefix_mean,0.2298919322681116,0.2894323990781798,-0.05954046681006819,0.0
13917,15239,95,70,23,1,current_increment,current,-0.0667017787694931,0.0145897597074508,-0.0812915384769439,0.0
13917,15239,95,70,23,1,current_increment,prefix_mean,-0.0667017787694931,0.0145897597074508,-0.0812915384769439,0.0
13917,15239,95,70,23,2,current,current,0.2434400767087936,0.3106344640254974,-0.06719438731670377,0.0
13917,15239,95,70,23,2,current,prefix_mean,0.24551105499267575,0.30160306394100184,-0.05609200894832608,0.0
13917,15239,95,70,23,2,past_ewma,current,0.2387369827723347,0.291002031467343,-0.05226504869500828,0.0
13917,15239,95,70,23,2,past_ewma,prefix_mean,0.23431445752022317,0.2902172152727614,-0.055902757752538224,0.0
13917,15239,95,70,23,2,current_increment,current,-0.0448486968874931,0.0195328101515769,-0.06438150703907,0.0
13917,15239,95,70,23,2,current_increment,prefix_mean,-0.0557752378284931,0.01706128492951385,-0.07283652275800695,0.0
13917,15239,95,70,23,4,current,current,0.315327525138855,0.4606937170028686,-0.14536619186401362,0.0
13917,15239,95,70,23,4,current,prefix_mean,0.28773772716522217,0.338391900062561,-0.05065417289733881,0.0
13917,15239,95,70,23,4,past_ewma,current,0.2928449016386231,0.2952430015558959,-0.0023980999172728,0.0
