method,aggregation,observed_tokens,cohort,metric,pairs,mean,low,high,sources
current_increment,current,4,eligible_at_k,gap,49,0.1257928315263528,0.0625937262714769,0.1912657704705801,39
current_increment,current,8,eligible_at_k,paired_win,43,0.6481481481481483,0.4907407407407407,0.7916666666666666,36
current_increment,current,8,eligible_at_k,gap,43,0.10287089881797633,0.030606495147674457,0.17557596171378254,36
current_increment,prefix_mean,1,eligible_at_k,paired_win,50,0.7833333333333334,0.6497916666666667,0.9,40
current_increment,prefix_mean,1,eligible_at_k,gap,50,0.13909579989810783,0.07717260897019879,0.20018598769752619,40
current_increment,prefix_mean,2,eligible_at_k,paired_win,50,0.8083333333333333,0.6833333333333333,0.925,40
current_increment,prefix_mean,2,eligible_at_k,gap,50,0.14720913719385864,0.08863721717929003,0.20351254142576358,40
current_increment,prefix_mean,4,eligible_at_k,paired_win,49,0.7521367521367521,0.6196581196581196,0.8717948717948718,39
current_increment,prefix_mean,4,eligible_at_k,gap,49,0.13698760638188603,0.0869304328838873,0.18966640160639936,39
current_increment,prefix_mean,8,eligible_at_k,paired_win,43,0.7175925925925926,0.5694444444444444,0.8425925925925927,36
current_increment,prefix_mean,8,eligible_at_k,gap,43,0.1239029528469675,0.07574619917991286,0.1710619948552145,36
past_ewma,current,1,eligible_at_k,paired_win,50,0.6916666666666667,0.5583333333333333,0.8208333333333332,40
past_ewma,current,1,eligible_at_k,gap,50,0.06037035600270877,0.01615841994485763,0.10325546170944037,40
past_ewma,current,2,eligible_at_k,paired_win,50,0.8541666666666666,0.75,0.9416666666666667,40
past_ewma,current,2,eligible_at_k,gap,50,0.12077716227459934,0.07510127616788252,0.16437576954505514,40
past_ewma,current,4,eligible_at_k,paired_win,49,0.8504273504273505,0.735042735042735,0.9487179487179487,39
past_ewma,current,4,eligible_at_k,gap,49,0.18654009295791388,0.12398568265378163,0.24780156100201617,39
past_ewma,current,8,eligible_at_k,paired_win,43,0.8148148148148148,0.6851851851851851,0.925925925925926,36
past_ewma,current,8,eligible_at_k,gap,43,0.2532048378812166,0.17837454209837764,0.32719973352409093,36
past_ewma,prefix_mean,1,eligible_at_k,paired_win,50,0.6916666666666667,0.5583333333333333,0.8208333333333332,40
past_ewma,prefix_mean,1,eligible_at_k,gap,50,0.06037035600270877,0.01615841994485763,0.10325546170944037,40
past_ewma,prefix_mean,2,eligible_at_k,paired_win,50,0.8541666666666666,0.75,0.95,40
past_ewma,prefix_mean,2,eligible_at_k,gap,50,0.09057375913865406,0.04814003624729154,0.13203786200081055,40
past_ewma,prefix_mean,4,eligible_at_k,paired_win,49,0.8247863247863249,0.7094017094017093,0.9273504273504273,39
past_ewma,prefix_mean,4,eligible_at_k,gap,49,0.13410254171131833,0.08522902687510078,0.17953423909226496,39
past_ewma,prefix_mean,8,eligible_at_k,paired_win,43,0.8796296296296295,0.7685185185185185,0.9722222222222222,36
past_ewma,prefix_mean,8,eligible_at_k,gap,43,0.19052080982153174,0.13664174199963378,0.24495711753403765,36
current,current,1,same_pairs_all_k,paired_win,43,0.8935185185185185,0.7916666666666666,0.9768518518518517,36
current,current,1,same_pairs_all_k,gap,43,0.19320995057070695,0.1292197544619234,0.2592897610040381,36
current,current,2,same_pairs_all_k,paired_win,43,0.8518518518518517,0.7361111111111112,0.949074074074074,36
current,current,2,same_pairs_all_k,gap,43,0.21424651842702316,0.14430275940663975,0.2858309160917997,36
current,current,4,same_pairs_all_k,paired_win,43,0.8379629629629629,0.7129629629629629,0.9444444444444444,36
current,current,4,same_pairs_all_k,gap,43,0.22756481950205787,0.1405301920776428,0.31382901428474314,36
current,current,8,same_pairs_all_k,paired_win,43,0.7870370370370371,0.6527777777777778,0.9027777777777778,36
current,current,8,same_pairs_all_k,gap,43,0.28682066910658727,0.19514057741034777,0.37598692687073104,36
current,prefix_mean,1,same_pairs_all_k,paired_win,43,0.8935185185185185,0.7916666666666666,0.9768518518518517,36
current,prefix_mean,1,same_pairs_all_k,gap,43,0.19320995057070695,0.1292197544619234,0.2592897610040381,36
current,prefix_mean,2,same_pairs_all_k,paired_win,43,0.9120370370370371,0.8194444444444444,0.9861111111111112,36
current,prefix_mean,2,same_pairs_all_k,gap,43,0.20372823449886507,0.14170548582915216,0.26691186161867025,36
current,prefix_mean,4,same_pairs_all_k,paired_win,43,0.8935185185185185,0.787037037037037,0.9768518518518517,36
current,prefix_mean,4,same_pairs_all_k,gap,43,0.2119554115752517,0.14389654335639163,0.27715282554789966,36
current,prefix_mean,8,same_pairs_all_k,paired_win,43,0.8148148148148148,0.6849537037037037,0.925925925925926,36
current,prefix_mean,8,same_pairs_all_k,gap,43,0.24137171041824057,0.17524227313352406,0.3077716813215779,36
current_increment,current,1,same_pairs_all_k,paired_win,43,0.7870370370370371,0.6481481481481481,0.9076388888888878,36
