model,population,tokens,positives,negatives,auroc,ap,tp,fp,fn,tn,recall,fpr
part_cross_layer,previous_normal,28173,78,28095,0.31159618692987623,0.001828934123283481,0,1395,78,26700,0.0,0.04965296316070475
part_cross_layer,previous_error,2297,2228,69,0.3425701870788125,0.9591467576753501,28,1,2200,68,0.012567324955116697,0.014492753623188406
part_layer_common,all,30619,2307,28312,0.4953309448141968,0.07298249641720556,97,1500,2210,26812,0.04204594711746858,0.05298106809833286
part_layer_common,answer_first,28364,52,28312,0.46220615884539307,0.001603344150942702,2,1500,50,26812,0.038461538461538464,0.05298106809833286
part_layer_common,continuation,30535,2223,28312,0.4959873732664887,0.0709062164477387,93,1500,2130,26812,0.04183535762483131,0.05298106809833286
part_layer_common,previous_normal,28173,78,28095,0.47555272632688544,0.002494560135118854,4,1499,74,26596,0.05128205128205128,0.053354689446520734
part_layer_common,previous_error,2297,2228,69,0.48766684880181094,0.9710838662350236,93,1,2135,68,0.041741472172351884,0.014492753623188406
part_head_contrast,all,30619,2307,28312,0.5250081511690956,0.09242602745684868,210,1296,2097,27016,0.09102730819245773,0.04577564283695959
part_head_contrast,answer_first,28364,52,28312,0.5465975286369466,0.0019409086112229718,1,1296,51,27016,0.019230769230769232,0.04577564283695959
part_head_contrast,continuation,30535,2223,28312,0.5247648876721912,0.09050910693504688,209,1296,2014,27016,0.09401709401709402,0.04577564283695959
part_head_contrast,previous_normal,28173,78,28095,0.5343422727832765,0.002813154087582227,1,1294,77,26801,0.01282051282051282,0.04605801744082577
part_head_contrast,previous_error,2297,2228,69,0.5282309473629433,0.9758736926697978,209,2,2019,67,0.09380610412926392,0.028985507246376812
history_mean,all,30470,2306,28164,0.8655941048052954,0.48955846166119193,817,477,1489,27687,0.35429314830875974,0.01693651469961653
history_mean,answer_first,28215,51,28164,0.5793420052298721,0.0022532001999738633,0,477,51,27687,0.0,0.01693651469961653
history_mean,continuation,30387,2223,28164,0.8728229578531194,0.4960189083820191,811,477,1412,27687,0.36482231219073324,0.01693651469961653
history_mean,previous_normal,28173,78,28095,0.6645483957817112,0.005071154038438098,3,455,75,27640,0.038461538461538464,0.01619505250044492
history_mean,previous_error,2297,2228,69,0.4812335753128822,0.9708513515668197,814,22,1414,47,0.3653500897666068,0.3188405797101449
current_increment,all,30470,2306,28164,0.5343481458433339,0.16220620986805695,396,1120,1910,27044,0.1717259323503903,0.039767078539980114
current_increment,answer_first,28215,51,28164,0.7339574091247065,0.008092680444864404,11,1120,40,27044,0.21568627450980393,0.039767078539980114
current_increment,continuation,30387,2223,28164,0.5278611848869512,0.15646628098550872,379,1120,1844,27044,0.17049032838506523,0.039767078539980114
current_increment,previous_normal,28173,78,28095,0.7255100597332311,0.011705501442979431,16,1119,62,26976,0.20512820512820512,0.0398291510945008
current_increment,previous_error,2297,2228,69,0.7485689381521089,0.9885043055078591,380,1,1848,68,0.17055655296229802,0.014492753623188406
prompt_only,all,30619,2307,28312,0.8692361864629843,0.5261900114074789,838,385,1469,27927,0.36324230602514085,0.013598474145238768
prompt_only,answer_first,28364,52,28312,0.6748891473036712,0.004126502081642275,1,385,51,27927,0.019230769230769232,0.013598474145238768
prompt_only,continuation,30535,2223,28312,0.8735344843913277,0.5294623539770461,828,385,1395,27927,0.3724696356275304,0.013598474145238768
prompt_only,previous_normal,28173,78,28095,0.7562678823223404,0.012470258759025053,9,380,69,27715,0.11538461538461539,0.013525538352019932
prompt_only,previous_error,2297,2228,69,0.7575521036609164,0.9899321569988259,829,5,1399,64,0.3720825852782765,0.07246376811594203
prompt_predicted_full,all,30619,2307,28312,0.8587014740571743,0.47116902024484386,785,486,1522,27826,0.34026874729085393,0.017165866063859846
prompt_predicted_full,answer_first,28364,52,28312,0.6959015747603625,0.0040691384165773845,2,486,50,27826,0.038461538461538464,0.017165866063859846
prompt_predicted_full,continuation,30535,2223,28312,0.8624057907791048,0.4733906372485386,777,486,1446,27826,0.349527665317139,0.017165866063859846
prompt_predicted_full,previous_normal,28173,78,28095,0.76528080094551,0.010112199650488693,8,486,70,27609,0.10256410256410256,0.017298451681793912
prompt_predicted_full,previous_error,2297,2228,69,0.777580464704811,0.9916273314818256,777,0,1451,69,0.3487432675044883,0.0
full_unexplained_by_prompt,all,30619,2307,28312,0.543788573371484,0.12806826211554395,289,1336,2018,26976,0.12527091460771564,0.0471884713195818
full_unexplained_by_prompt,answer_first,28364,52,28312,0.6378390788358295,0.0034008003241996886,6,1336,46,26976,0.11538461538461539,0.0471884713195818
full_unexplained_by_prompt,continuation,30535,2223,28312,0.5413183850614138,0.1250531497800147,279,1336,1944,26976,0.12550607287449392,0.0471884713195818
full_unexplained_by_prompt,previous_normal,28173,78,28095,0.6027822269680252,0.004880597749784725,10,1330,68,26765,0.1282051282051282,0.047339384232069764
